time,n_direct,n_impacted,only_indirect
2014-05-31,1,28,27
2014-06-30,1,28,27
2014-07-31,1,28,27
2014-08-31,1,28,27
2014-09-30,1,28,27
2014-10-31,1,28,27
2014-11-30,1,28,27
2014-12-31,1,28,27
2015-01-31,1,28,27
2015-02-28,1,28,27
2015-03-31,2,42,40
2015-04-30,2,42,40
2015-05-31,2,42,40
2015-06-30,2,42,40
2015-07-31,2,42,40
2015-08-31,2,42,40
2015-09-30,2,42,40
2015-10-31,2,42,40
2015-11-30,2,42,40
2015-12-31,2,42,40
2016-01-31,2,42,40
2016-02-29,2,42,40
2016-03-31,2,42,40
2016-04-30,3,42,39
2016-05-31,3,42,39
2016-06-30,3,42,39
2016-07-31,3,42,39
2016-08-31,3,42,39
2016-09-30,3,42,39
2016-10-31,4,44,40
2016-11-30,4,44,40
2016-12-31,4,44,40
2017-01-31,4,44,40
2017-02-28,4,44,40
2017-03-31,4,44,40
2017-04-30,4,44,40
2017-05-31,4,44,40
2017-06-30,4,44,40
2017-07-31,4,44,40
2017-08-31,4,44,40
2017-09-30,4,44,40
2017-10-31,4,44,40
2017-11-30,4,44,40
2017-12-31,4,44,40
2018-01-31,4,44,40
2018-02-28,4,44,40
2018-03-31,4,44,40
2018-04-30,4,44,40
2018-05-31,4,44,40
2018-06-30,4,44,40
2018-07-31,4,44,40
2018-08-31,5,44,39
2018-09-30,5,44,39
2018-10-31,5,44,39
2018-11-30,5,44,39
2018-12-31,5,44,39
2019-01-31,5,44,39
2019-02-28,5,44,39
2019-03-31,5,44,39
2019-04-30,5,44,39
2019-05-31,5,44,39
2019-06-30,5,44,39
2019-07-31,6,53,47
2019-08-31,6,53,47
2019-09-30,6,53,47
2019-10-31,6,53,47
2019-11-30,6,53,47
2019-12-31,6,53,47
2020-01-31,6,53,47
2020-02-29,6,53,47
2020-03-31,6,53,47
2020-04-30,7,53,46
2020-05-31,7,53,46
2020-06-30,8,54,46
2020-07-31,10,55,45
2020-08-31,10,55,45
2020-09-30,10,55,45
2020-10-31,10,55,45
2020-11-30,10,55,45
2020-12-31,11,55,44
2021-01-31,11,55,44
2021-02-28,11,55,44
2021-03-31,12,56,44
2021-04-30,11,56,45
2021-05-31,12,60,48
2021-06-30,12,60,48
2021-07-31,12,60,48
2021-08-31,12,60,48
2021-09-30,12,60,48
2021-10-31,12,60,48
2021-11-30,12,60,48
2021-12-31,12,60,48
2022-01-31,12,60,48
2022-02-28,12,60,48
2022-03-31,13,61,48
2022-04-30,14,61,47
2022-05-31,14,61,47
2022-06-30,14,61,47
2022-07-31,15,61,46
2022-08-31,15,61,46
2022-09-30,15,61,46
2022-10-31,14,61,47
2022-11-30,17,63,46
2022-12-31,16,63,47
2023-01-31,16,63,47
2023-02-28,16,63,47
2023-03-31,16,62,46
2023-04-30,16,62,46
2023-05-31,15,61,46
2023-06-30,16,62,46
2023-07-31,15,61,46
2023-08-31,15,60,45
2023-09-30,15,59,44
2023-10-31,15,60,45
2023-11-30,19,62,43
2023-12-31,19,62,43
2024-01-31,19,63,44
2024-02-29,20,62,42
2024-03-31,19,62,43
2024-04-30,20,62,42
2024-05-31,19,62,43
2024-06-30,23,62,39
2024-07-31,21,60,39
2024-08-31,21,57,36
2024-09-30,22,59,37
2024-10-31,23,58,35
2024-11-30,24,56,32
2024-12-31,23,54,31
2025-01-31,23,54,31
2025-02-28,22,46,24
2025-03-31,25,47,22
2025-04-30,26,48,22
2025-05-31,25,48,23
2025-06-30,23,42,19
2025-07-31,23,42,19
2025-08-31,24,42,18
2025-09-30,24,41,17
2025-10-31,19,35,16
