PROJECT_NAME,PROJECT_TYPE,PRODUCT_NAME,ISSUE_SEVERITY,CVE,CWE,CVSS_SCORE,SEMVER_VULNERABLE_RANGE,FIXED_IN_VERSION,VULNERABILITY_PUBLICATION_DATE,FIRST_INTRODUCED,UPDATED_AT,DESCRIPTION
urllib3,pip,Combined OSV+NVD,low,CVE-2024-37891,CWE-669,3.1,>=0 >=2.0.0,1.26.19,2024-06-17T21:37:20Z,,2025-11-04T17:17:45.245584Z,
urllib3,pip,Combined OSV+NVD,low,CVE-2025-50182,CWE-601,3.1,>=2.2.0,2.5.0,2025-06-18T17:50:11Z,,2025-06-30T19:08:09.127199Z,
urllib3,pip,Combined OSV+NVD,low,CVE-2023-45803,CWE-200,3.1,>=2.0.0 >=0,2.0.7,2023-10-17T20:15:00Z,,2023-11-08T04:13:39.165450Z,
urllib3,pip,Combined OSV+NVD,low,CVE-2018-25091,CWE-601,3.1,>=0,1.24.2,2023-10-15T19:15:00Z,,2023-11-08T04:00:16.446075Z,
urllib3,pip,Combined OSV+NVD,low,CVE-2025-50181,CWE-601,3.1,>=0,2.5.0,2025-06-18T17:50:00Z,,2025-06-19T16:15:11.736637Z,
urllib3,pip,Combined OSV+NVD,low,CVE-2023-43804,CWE-200,3.1,>=2.0.0 >=0,2.0.6,2023-10-04T17:15:00Z,,2023-11-08T04:13:33.452167Z,
requests,pip,Combined OSV+NVD,low,CVE-2024-47081,CWE-522,3.1,>=0,2.32.4,2025-06-09T19:06:08Z,,2025-06-09T19:27:13.389930Z,
requests,pip,Combined OSV+NVD,low,CVE-2024-35195,CWE-670,3.1,>=0,2.32.0,2024-05-20T20:15:00Z,,2024-07-15T22:12:27.987373Z,
requests,pip,Combined OSV+NVD,medium,CVE-2023-32681,CWE-200,6.1,>=2.3.0,2.31.0,2023-05-26T18:15:00Z,,2023-11-08T04:12:35.436175Z,
certifi,pip,Combined OSV+NVD,low,CVE-2024-39689,CWE-345,3.1,>=2021.5.30,2024.7.4,2024-07-05T19:15:10Z,,2025-02-12T21:42:09.790076Z,
certifi,pip,Combined OSV+NVD,medium,CVE-2022-23491,CWE-345,6.8,>=2017.11.5,2022.12.7,2022-12-07T22:15:00Z,,2023-11-08T04:08:19.066843Z,
certifi,pip,Combined OSV+NVD,high,CVE-2023-37920,CWE-345,7.5,>=2015.4.28,2023.7.22,2023-08-03T19:36:12Z,,2023-11-08T04:13:04.801823Z,
idna,pip,Combined OSV+NVD,low,CVE-2024-3651,CWE-1333,3.1,>=0.1,3.7,2024-07-07T18:15:00Z,,2024-07-11T17:42:33.704488Z,
setuptools,pip,Combined OSV+NVD,low,CVE-2025-47273,CWE-22,3.1,>=0,78.1.1,2025-05-17T16:15:19Z,,2025-06-13T06:59:23.470501Z,
setuptools,pip,Combined OSV+NVD,low,CVE-2024-6345,CWE-94,3.1,>=0,70.0.0,2024-07-15T03:30:57Z,,2025-11-04T20:28:44.074515Z,
setuptools,pip,Combined OSV+NVD,medium,CVE-2022-40897,CWE-1333,5.9,>=0,65.5.1,2022-12-23T00:15:00Z,,2023-12-06T01:02:35.662444Z,
cryptography,pip,Combined OSV+NVD,low,CVE-2023-50782,CWE-208;CWE-203,3.1,>=0,42.0.0,2024-02-05T21:30:31Z,,2024-10-22T05:29:04.269269Z,
cryptography,pip,Combined OSV+NVD,low,CVE-2024-26130,CWE-476,3.1,>=38.0.0,42.0.4,2024-02-21T17:15:09Z,,2025-02-06T01:12:08.453349Z,
cryptography,pip,Combined OSV+NVD,medium,CVE-2024-12797,CWE-392,6.3,>=42.0.0,44.0.1,2025-02-11T18:06:42Z,,2025-02-12T18:32:16.345643Z,
cryptography,pip,Combined OSV+NVD,low,CVE-2024-0727,CWE-476,3.1,>=0,42.0.2,2024-01-26T09:30:23Z,,2025-11-04T00:59:48.027289Z,
cryptography,pip,Combined OSV+NVD,high,CVE-2023-38325,CWE-295,7.5,>=40.0.0,41.0.2,2023-07-14T20:15:00Z,,2023-11-08T04:13:07.382446Z,
cryptography,pip,Combined OSV+NVD,low,CVE-2023-49083,CWE-476,3.1,>=3.1,41.0.6,2023-11-29T19:15:00Z,,2024-02-17T07:41:40.326359Z,
cryptography,pip,Combined OSV+NVD,low,CVE-2023-23931,CWE-754,3.1,>=1.8,39.0.1,2023-02-07T20:54:10Z,,2025-11-04T17:24:34.140190Z,
