PROJECT_NAME,PROJECT_TYPE,PRODUCT_NAME,ISSUE_SEVERITY,CVE,CWE,SEMVER_VULNERABLE_RANGE,FIXED_IN_VERSION,VULNERABILITY_PUBLICATION_DATE,FIRST_INTRODUCED,UPDATED_AT
urllib3,pip,OSV Database,moderate,CVE-2024-37891,,>=0 >=2.0.0,1.26.19,2024-06-17T21:37:20Z,,2025-11-04T17:17:45.245584Z
urllib3,pip,OSV Database,moderate,CVE-2025-50182,,>=2.2.0,2.5.0,2025-06-18T17:50:11Z,,2025-06-30T19:08:09.127199Z
urllib3,pip,OSV Database,moderate,CVE-2021-28363,,>=1.26.0,1.26.4,2021-03-19T19:42:11Z,,2024-11-18T22:47:07.986639Z
urllib3,pip,OSV Database,moderate,CVE-2023-45803,,>=2.0.0 >=0,2.0.7,2023-10-17T20:15:25Z,,2025-11-04T17:00:24.358773Z
urllib3,pip,OSV Database,moderate,CVE-2018-25091,,>=0,1.24.2,2023-10-15T21:30:26Z,,2024-11-18T23:24:00.169548Z
urllib3,pip,OSV Database,high,CVE-2020-7212,,>=1.25.2,1.25.8,2021-04-30T17:31:43Z,,2024-11-18T22:35:00.503678Z
urllib3,pip,OSV Database,high,CVE-2019-11324,,>=0,1.24.2,2019-04-19T16:55:10Z,,2024-11-18T22:25:21.266722Z
urllib3,pip,OSV Database,moderate,CVE-2025-50181,,>=0,2.5.0,2025-06-18T17:50:00Z,,2025-06-19T16:15:11.736637Z
urllib3,pip,OSV Database,high,CVE-2021-33503,,>=1.25.4,1.26.5,2021-06-01T21:19:32Z,,2024-11-18T23:12:19.714863Z
urllib3,pip,OSV Database,moderate,CVE-2019-11236,,>=0,1.24.3,2022-05-13T01:09:23Z,,2024-11-18T23:01:35.378516Z
urllib3,pip,OSV Database,moderate,CVE-2016-9015,,>=1.17,1.18.1,2022-05-17T03:05:04Z,,2024-11-18T23:23:42.457541Z
urllib3,pip,OSV Database,high,CVE-2023-43804,,>=2.0.0 >=0,2.0.6,2023-10-02T23:27:05Z,,2025-11-04T17:12:10.974241Z
urllib3,pip,OSV Database,moderate,CVE-2020-26137,,>=0,1.25.9,2021-06-18T18:46:43Z,,2024-11-18T22:47:07.792720Z
urllib3,pip,OSV Database,critical,CVE-2018-20060,,>=0,1.23,2018-12-12T15:52:07Z,,2024-12-27T18:35:28.737156Z
