package,in_degree,betweenness,eigenvector,kcore
agno,1,0.10280599992067649,0.17161228829169467,10
aiohttp,20,0.016575253555672617,0.07891082769698944,10
opentelemetry-exporter-otlp-proto-grpc,1,0.0,0.007629796139846422,1
typing-extensions,35,0.030272053221976663,0.09699816669193102,10
mem0ai,2,6.256753737043808e-05,0.009557923222754295,2
google-genai,4,0.00044643581982457446,0.020673933117792122,4
arxiv,1,0.0,0.007629796139846422,1
docstring-parser,2,0.00015437537372515472,0.012442367954281894,2
lxml_html_clean,2,6.385467963175085e-05,0.009754719514685902,2
pgvector,2,5.97379041389888e-05,0.014584035454598361,2
anthropic,5,0.000860574267402817,0.025871575417879638,5
litellm,3,0.022244569816787105,0.09629728490657218,10
clickhouse-connect,3,0.0003922280929184902,0.021310411745012657,3
tantivy,1,0.0,0.007629796139846422,1
boto3,13,0.004634747341931666,0.06277149619552123,10
agentql,1,0.0,0.007629796139846422,1
arize-phoenix,1,0.0,0.007629796139846422,1
pytest,52,0.05128417119481802,0.17135665648758638,10
cerebras-cloud-sdk,1,0.0,0.007629796139846422,1
elevenlabs,1,0.0,0.007629796139846422,1
upstash-vector,1,0.0,0.007629796139846422,1
infinity_client,1,0.0,0.007629796139846422,1
pytest-asyncio,8,0.0018800305775460834,0.04652013635857554,8
google-cloud-bigquery,3,0.0003922280929184902,0.021310411745012657,3
memorisdk,1,0.0,0.007629796139846422,1
email_validator,1,0.0,0.007629796139846422,1
llama-api-client,1,0.0,0.007629796139846422,1
ollama,2,6.382405748424796e-05,0.011256704092088357,2
youtube_transcript_api,1,0.0,0.007629796139846422,1
agno-infra,1,0.0,0.007629796139846422,1
chromadb,3,0.00015369060226779854,0.016512162537506238,3
qdrant-client,4,0.004193177114046075,0.04919917466804752,8
pinecone,2,5.97379041389888e-05,0.014584035454598361,2
opentelemetry-distro,3,0.0004742416159506038,0.013834777279561335,3
markdown,5,0.000652836889812921,0.023582535743296745,5
googlemaps,1,0.0,0.007629796139846422,1
oxylabs,1,0.0,0.007629796139846422,1
twine,10,0.0016573707276003066,0.02481550886081936,7
google-auth-oauthlib,4,0.0002848742340405572,0.02013907048974817,4
pillow,22,0.03266251885258956,0.1318663192290145,10
pyyaml,33,0.03133319963580106,0.12990249189942055,10
openlit,1,0.0,0.007629796139846422,1
python-docx,2,0.0,0.011368918015796117,2
exa_py,1,0.0,0.007629796139846422,1
browserbase,1,0.0,0.007629796139846422,1
google-cloud-storage,6,0.0011060282799380038,0.03699570101997719,6
pydantic,28,0.02784826702375921,0.11483268200893813,10
cohere,1,0.0,0.007629796139846422,1
valyu,1,0.0,0.007629796139846422,1
gitpython,4,0.00629793063096849,0.05746480878594071,10
fastmcp,2,0.007152676571249136,0.03425397517886313,8
mcp,7,0.004265964881944741,0.06170966055779121,10
ddgs,2,5.97379041389888e-05,0.014584035454598361,2
lancedb,2,6.256753737043808e-05,0.009557923222754295,2
pylance,1,0.0,0.007629796139846422,1
atlassian-python-api,1,0.0,0.007629796139846422,1
webexpythonsdk,1,0.0,0.007629796139846422,1
packaging,33,0.036354485851495796,0.1150582792007347,10
h11,2,0.00031987973755940734,0.008569232534011326,2
newspaper4k,1,0.0,0.007629796139846422,1
pypdf,6,0.009229106732441428,0.060879059775271686,10
ibm-watsonx-ai,1,0.0,0.007629796139846422,1
python-multipart,10,0.0011832050570308576,0.03977223140936906,9
pymongo,4,0.014011493520644723,0.051491964494139564,9
ag-ui-protocol,1,0.0,0.007629796139846422,1
mistralai,1,0.0,0.007629796139846422,1
google-cloud-firestore,1,0.0,0.007629796139846422,1
couchbase,2,0.00017585301175859734,0.018459645149756926,2
tavily-python,1,0.0,0.007629796139846422,1
build,16,0.00823022823578283,0.057159444862714466,9
redis,6,0.001661648221869224,0.03251644704384494,5
firecrawl-py,2,5.97379041389888e-05,0.014584035454598361,2
daytona,1,0.0,0.007629796139846422,1
unstructured,2,0.029383948466765925,0.08409754500097011,10
brave-search,1,0.0,0.007629796139846422,1
openai,10,0.0029360436211498453,0.04876897350173383,8
opentelemetry-exporter-otlp,4,0.0011885592763277422,0.028028066955407344,4
web3,1,0.0,0.007629796139846422,1
apify-client,1,0.0,0.007629796139846422,1
duckdb,3,0.0022544031524063682,0.033560501288351,8
python-pptx,3,5.97379041389888e-05,0.018323157330548057,3
google-api-python-client,5,0.0005584002912466914,0.021777192722975208,5
chonkie,1,0.0,0.007629796139846422,1
pymilvus,4,0.0005392533062299466,0.027342011547416743,4
groq,2,6.382405748424796e-05,0.011256704092088357,2
uvicorn,19,0.008473088154893478,0.0927393399120943,10
google-maps-places,1,0.0,0.007629796139846422,1
pydantic-settings,4,0.00030884456953249323,0.01580941198872876,4
yfinance,1,0.0,0.007629796139846422,1
redisvl,2,0.0,0.011911225044190064,2
a2a-sdk,1,0.0,0.007629796139846422,1
psycopg,4,0.0007457177679100125,0.02323853882792053,4
todoist-api-python,1,0.0,0.007629796139846422,1
rich,22,0.013285856819967114,0.08100520659375494,10
asyncpg,4,0.0009173132650559075,0.018349848115331403,4
pytest-mock,11,0.002736302649806151,0.04571518919970968,9
surrealdb,1,0.0,0.007629796139846422,1
sqlalchemy,15,0.013246145456535307,0.053699944664405155,9
azure-ai-inference,1,0.0,0.007629796139846422,1
fal_client,1,0.0,0.007629796139846422,1
notion-client,1,0.0,0.007629796139846422,1
timeout-decorator,3,0.0002783935397257838,0.01894702936777255,3
crawl4ai,1,0.018014383397509732,0.09664724042298252,10
typer,7,0.0007403196019344803,0.025575267315337828,6
cassio,1,0.0,0.007629796139846422,1
mypy,19,0.012181256718409066,0.07151516432606539,10
parallel-web,1,0.0,0.007629796139846422,1
lmstudio,1,0.0,0.007629796139846422,1
portkey-ai,1,0.0,0.007629796139846422,1
opentelemetry-sdk,5,0.0011161538232717955,0.02460965574584066,4
opencv-python,2,0.00021685627773900787,0.018918870317153443,3
types-pyyaml,5,0.001129858767989485,0.030340529465225745,5
weaviate-client,2,6.256753737043808e-05,0.009557923222754295,2
langfuse,1,0.0,0.007629796139846422,1
zep-cloud,1,0.0,0.007629796139846422,1
scrapegraph-py,1,0.0,0.007629796139846422,1
memory_profiler,2,9.95010080429103e-05,0.012414202763944459,2
neo4j,1,0.0,0.007629796139846422,1
pygithub,1,0.0,0.007629796139846422,1
psycopg-binary,2,6.256753737043808e-05,0.009557923222754295,2
reportlab,3,0.00025207846684609437,0.012304573929236395,3
aioboto3,1,0.0,0.007629796139846422,1
aiofiles,6,0.0010384126940615895,0.023850154012762633,5
httpx,22,0.013144222612201644,0.07844965520683662,10
pyjwt,11,0.008054431034236363,0.07076233642357092,10
weave,1,0.0,0.007629796139846422,1
types-aiofiles,1,0.0,0.007629796139846422,1
ruff,16,0.006161450972109735,0.06845228483817603,10
pytest-cov,30,0.015137355227722622,0.10968318679258394,10
fastapi,20,0.010258102622946543,0.09620226226905064,10
inquirer,1,0.0,0.007629796139846422,1
huggingface-hub,5,0.0008273557891710511,0.03028607641574017,5
playwright,3,8.276090850705294e-05,0.018881066742453503,3
google-auth-httplib2,3,0.00015369060226779854,0.016512162537506238,3
matplotlib,15,0.00876090291849742,0.050629592199242214,10
python-dotenv,11,0.00163807926159036,0.0362538199543106,8
cartesia,1,0.0,0.007629796139846422,1
rapidocr_onnxruntime,1,0.0,0.007629796139846422,1
trafilatura,1,0.0,0.007629796139846422,1
aiohappyeyeballs,1,0.0,0.00350883809659885,1
async-timeout,4,0.00027248754316958187,0.01990141281188165,4
aiodns,2,0.0,0.006378585011393937,2
aiosignal,2,0.0,0.008023908932368916,2
yarl,3,7.638775399021679e-05,0.010893655847164002,3
frozenlist,2,0.0,0.008023908932368916,2
multidict,4,0.00017275550533822121,0.012998813117906734,4
propcache,3,7.638775399021679e-05,0.010893655847164002,3
attrs,9,0.0034781305074750683,0.029524040200193984,8
brotlicffi,4,0.00044553388155102946,0.008373124796854889,4
brotli,9,0.0023334588384390075,0.024289303612220658,7
backports.zstd,1,0.0,0.00350883809659885,1
aiomysql,1,0.00024488211693361283,0.0035207790323050965,3
pymysql,3,0.0007458648203028821,0.023360039471490172,3
anki,0,0.001544005141094941,0.0167414679171743,5
requests,41,0.053837087722279554,0.15135697284148236,10
decorator,1,0.0,0.0007443075769786194,1
orjson,11,0.004974336283351232,0.036103061779905,9
protobuf,15,0.004806381646711505,0.062455835454259194,9
distro,2,1.9315595229109793e-05,0.005259378412748685,2
ansible,0,0.0,0.0008885420923970187,1
ansible-core,1,0.002597404906579779,0.01998537259947799,4
jinja2,25,0.01882906935494104,0.08645829144262367,10
resolvelib,1,0.0,0.0008885420923970187,1
cryptography,31,0.05256461095289941,0.11626218211302766,10
apache-airflow,8,0.118742394291692,0.015391425760169972,5
apache-airflow-providers-sendgrid,1,0.0,0.000684368106803418,1
apache-airflow-providers-vertica,2,0.0,0.0007785591231225986,2
