package,in_degree,betweenness,eigenvector,kcore,predicted_risk
pytest,52,0.05128417119481802,0.17135665648758638,10,0.29128637043193983
requests,41,0.053837087722279554,0.15135697284148236,10,0.2416705996135404
numpy,43,0.029021285833747166,0.136991043871199,10,0.23406757072724732
pyyaml,33,0.03133319963580106,0.12990249189942055,10,0.19395104311406208
packaging,33,0.036354485851495796,0.1150582792007347,10,0.18902859757514662
cryptography,31,0.05256461095289941,0.11626218211302766,10,0.18769672785984895
typing-extensions,35,0.030272053221976663,0.09699816669193102,10,0.18631986533717398
pandas,29,0.026256270609710544,0.11731181402573129,10,0.17141397328912872
pytest-cov,30,0.015137355227722622,0.10968318679258394,10,0.16786305555617703
pydantic,28,0.02784826702375921,0.11483268200893813,10,0.16708197772082845
sphinx,30,0.014718165951516822,0.08231702005265976,10,0.15540156427653912
transformers,8,0.07530002689109772,0.21769729198926976,10,0.1545074700523386
pillow,22,0.03266251885258956,0.1318663192290145,10,0.1537905931759912
feast,1,0.10180302930466881,0.24358749000980756,10,0.14901901566670786
jinja2,25,0.01882906935494104,0.08645829144262367,10,0.13983602806491946
click,24,0.012287369206314541,0.08318473440472372,10,0.13229974744018483
coverage,24,0.009740990246135188,0.0708381623136775,10,0.12585255736315126
rich,22,0.013285856819967114,0.08100520659375494,10,0.12412126077870653
httpx,22,0.013144222612201644,0.07844965520683662,10,0.12292169068187536
fastapi,20,0.010258102622946543,0.09620226226905064,10,0.12235305205231164
agno,1,0.10280599992067649,0.17161228829169467,10,0.11698121460915975
aiohttp,20,0.016575253555672617,0.07891082769698944,10,0.11678290932133822
uvicorn,19,0.008473088154893478,0.0927393399120943,10,0.11639639702220232
setuptools,14,0.036818099867326905,0.10381463749564156,10,0.1124331105058484
psutil,18,0.009298715100352335,0.09161096789602685,10,0.11240401414022219
tqdm,16,0.011793906980845632,0.10433814527018301,10,0.11145739130544435
sagemaker,1,0.10588895868456291,0.15693178679764416,10,0.11145402450419727
mypy,19,0.012181256718409066,0.07151516432606539,10,0.10814337700571977
pytest-timeout,18,0.00563210932569366,0.08298835682409646,10,0.10724052713672297
scipy,18,0.01114645940055938,0.0671124083991062,10,0.10202637287168037
pytest-xdist,16,0.007021507951315552,0.07359489008654962,10,0.09595258681247382
ruff,16,0.006161450972109735,0.06845228483817603,10,0.09333739450798366
scikit-learn,10,0.01911758989886724,0.10760503506428414,10,0.09284927130013518
open-webui,0,0.0637394258591367,0.15641546407056559,10,0.09269575788245235
torch,11,0.027050339490046246,0.08559808008026,10,0.08949618881989735
build,16,0.00823022823578283,0.057159444862714466,9,0.08897968856131154
pre-commit,17,0.004788382641620047,0.05002473439308535,9,0.08833800779768183
protobuf,15,0.004806381646711505,0.062455835454259194,9,0.08639113311567133
pyarrow,15,0.00499221607794432,0.060898604652347706,10,0.08575542130574264
sqlalchemy,15,0.013246145456535307,0.053699944664405155,9,0.08540489959367534
matplotlib,15,0.00876090291849742,0.050629592199242214,10,0.08245340609603875
importlib-metadata,15,0.0054194811622486384,0.04703537476921753,9,0.07966651063784057
fsspec,14,0.0044718087458083455,0.05526823536322039,10,0.07926602765372738
black,12,0.009992689530238012,0.06736368767158116,10,0.07909411965571936
boto3,13,0.004634747341931666,0.06277149619552123,10,0.07892593863124556
apache-airflow,8,0.118742394291692,0.015391425760169972,5,0.07867465883945171
pyjwt,11,0.008054431034236363,0.07076233642357092,10,0.0761715362148538
