package,in_degree,betweenness,eigenvector,kcore
pytest,52,0.05128417119481802,0.17135665648758638,10
numpy,43,0.029021285833747166,0.136991043871199,10
requests,41,0.053837087722279554,0.15135697284148236,10
typing-extensions,35,0.030272053221976663,0.09699816669193102,10
packaging,33,0.036354485851495796,0.1150582792007347,10
pyyaml,33,0.03133319963580106,0.12990249189942055,10
cryptography,31,0.05256461095289941,0.11626218211302766,10
pytest-cov,30,0.015137355227722622,0.10968318679258394,10
sphinx,30,0.014718165951516822,0.08231702005265976,10
pandas,29,0.026256270609710544,0.11731181402573129,10
pydantic,28,0.02784826702375921,0.11483268200893813,10
jinja2,25,0.01882906935494104,0.08645829144262367,10
click,24,0.012287369206314541,0.08318473440472372,10
coverage,24,0.009740990246135188,0.0708381623136775,10
pillow,22,0.03266251885258956,0.1318663192290145,10
rich,22,0.013285856819967114,0.08100520659375494,10
httpx,22,0.013144222612201644,0.07844965520683662,10
aiohttp,20,0.016575253555672617,0.07891082769698944,10
fastapi,20,0.010258102622946543,0.09620226226905064,10
mypy,19,0.012181256718409066,0.07151516432606539,10
uvicorn,19,0.008473088154893478,0.0927393399120943,10
scipy,18,0.01114645940055938,0.0671124083991062,10
psutil,18,0.009298715100352335,0.09161096789602685,10
pytest-timeout,18,0.00563210932569366,0.08298835682409646,10
pre-commit,17,0.004788382641620047,0.05002473439308535,9
