root,group,pkg,severity,matches_root
transformers,direct,ray,critical,1
transformers,direct,parameterized,unknown,0
transformers,direct,librosa,unknown,0
transformers,direct,ftfy,unknown,0
transformers,direct,fugashi,unknown,0
transformers,direct,mistral-common,unknown,0
transformers,direct,cookiecutter,unknown,0
transformers,direct,importlib_metadata,unknown,0
transformers,direct,accelerate,unknown,0
transformers,direct,optax,unknown,0
transformers,direct,tensorboard,unknown,0
transformers,direct,sagemaker,high,0
transformers,direct,pyctcdecode,unknown,0
transformers,direct,pytest,unknown,0
transformers,direct,numpy,unknown,0
transformers,direct,kenlm,unknown,0
transformers,direct,tf2onnx,unknown,0
transformers,direct,tokenizers,unknown,0
transformers,direct,tensorflow-text,unknown,0
transformers,direct,pytest-asyncio,unknown,0
transformers,direct,psutil,unknown,0
transformers,direct,requests,medium,0
transformers,direct,keras-nlp,unknown,0
transformers,direct,sigopt,unknown,0
transformers,direct,kernels,unknown,0
transformers,direct,pytest-xdist,unknown,0
transformers,direct,opentelemetry-api,unknown,0
transformers,direct,faiss-cpu,unknown,0
transformers,direct,phonemizer,unknown,0
transformers,direct,torchvision,unknown,0
transformers,direct,sacremoses,unknown,0
transformers,direct,scikit-learn,medium,0
transformers,direct,regex,unknown,0
transformers,direct,deepspeed,high,0
transformers,direct,tensorflow,unknown,0
transformers,direct,flax,unknown,0
transformers,direct,pillow,critical,1
transformers,direct,pyyaml,unknown,0
transformers,direct,pydantic,medium,0
transformers,direct,sacrebleu,unknown,0
transformers,direct,tensorflow-probability,unknown,0
transformers,direct,gitpython,high,0
transformers,direct,scipy,unknown,0
transformers,direct,optimum-benchmark,unknown,0
transformers,direct,packaging,unknown,0
transformers,direct,torch,critical,1
transformers,direct,blobfile,unknown,0
transformers,direct,sudachipy,unknown,0
transformers,direct,num2words,critical,1
transformers,direct,rjieba,unknown,0
transformers,direct,onnxruntime-tools,unknown,0
transformers,direct,jaxlib,unknown,0
transformers,direct,jinja2,medium,0
transformers,direct,ipadic,unknown,0
transformers,direct,sentencepiece,unknown,0
transformers,direct,sudachidict_core,unknown,0
transformers,direct,pytest-timeout,unknown,0
transformers,direct,hf_xet,unknown,0
transformers,direct,codecarbon,unknown,0
transformers,direct,pytest-order,unknown,0
transformers,direct,openai,unknown,0
transformers,direct,opentelemetry-exporter-otlp,unknown,0
transformers,direct,onnxconverter-common,unknown,0
transformers,direct,natten,unknown,0
transformers,direct,dill,unknown,0
transformers,direct,rouge-score,unknown,0
transformers,direct,tensorflow-cpu,unknown,0
transformers,direct,libcst,unknown,0
transformers,direct,uvicorn,unknown,0
transformers,direct,jax,unknown,0
transformers,direct,unidic_lite,unknown,0
transformers,direct,filelock,unknown,0
transformers,direct,tiktoken,unknown,0
transformers,direct,rich,unknown,0
transformers,direct,protobuf,high,0
transformers,direct,unidic,unknown,0
transformers,direct,datasets,unknown,0
transformers,direct,timeout-decorator,unknown,0
transformers,direct,urllib3,medium,0
transformers,direct,opentelemetry-sdk,unknown,0
transformers,direct,beautifulsoup4,unknown,0
transformers,direct,safetensors,unknown,0
transformers,direct,timm,unknown,0
transformers,direct,nltk,high,0
transformers,direct,onnxruntime,unknown,0
transformers,direct,av,unknown,0
transformers,direct,tqdm,low,0
transformers,direct,rhoknp,unknown,0
transformers,direct,evaluate,unknown,0
transformers,direct,ruff,unknown,0
transformers,direct,torchaudio,unknown,0
transformers,direct,keras,critical,1
transformers,direct,pandas,unknown,0
transformers,direct,fastapi,unknown,0
transformers,direct,starlette,high,0
transformers,direct,huggingface-hub,unknown,0
transformers,direct,optuna,unknown,0
transformers,direct,pytest-rerunfailures,unknown,0
transformers,direct,pytest-rich,unknown,0
transformers,indirect,smart_open,unknown,0
transformers,indirect,watchfiles,unknown,0
transformers,indirect,gymnasium,unknown,0
transformers,indirect,click,unknown,0
transformers,indirect,virtualenv,high,0
transformers,indirect,jsonref,unknown,0
transformers,indirect,aiohttp,high,0
transformers,indirect,typer,unknown,0
transformers,indirect,msgpack,unknown,0
transformers,indirect,dm_tree,unknown,0
transformers,indirect,lz4,unknown,0
transformers,indirect,cupy-cuda12x,unknown,0
transformers,indirect,colorful,unknown,0
transformers,indirect,celery,unknown,0
transformers,indirect,async-timeout,unknown,0
transformers,indirect,opencensus,unknown,0
transformers,indirect,hf_transfer,unknown,0
transformers,indirect,ray-cpp,unknown,0
transformers,indirect,fsspec,unknown,0
transformers,indirect,jsonschema,unknown,0
transformers,indirect,aiohttp_cors,unknown,0
transformers,indirect,pyopenssl,unknown,0
transformers,indirect,py-spy,unknown,0
transformers,indirect,prometheus_client,unknown,0
transformers,indirect,opentelemetry-proto,unknown,0
transformers,indirect,grpcio,unknown,0
transformers,indirect,pyarrow,critical,1
transformers,indirect,nixl,unknown,0
transformers,indirect,ninja,unknown,0
transformers,indirect,memray,unknown,0
transformers,indirect,opentelemetry-exporter-prometheus,unknown,0
transformers,indirect,tensorboardx,unknown,0
transformers,indirect,ormsgpack,unknown,0
transformers,indirect,vllm,critical,1
transformers,indirect,omegaconf,unknown,0
transformers,indirect,nest-asyncio,unknown,0
transformers,indirect,boto3,unknown,0
transformers,indirect,jsonpickle,unknown,0
transformers,indirect,onnx,high,0
transformers,indirect,mypy-boto3-s3,unknown,0
transformers,indirect,tox,unknown,0
transformers,indirect,fabric,unknown,0
transformers,indirect,orderly-set,unknown,0
transformers,indirect,stopit,unknown,0
transformers,indirect,coverage,unknown,0
transformers,indirect,importlib-metadata,unknown,0
transformers,indirect,nbformat,unknown,0
transformers,indirect,contextlib2,unknown,0
transformers,indirect,docker,unknown,0
transformers,indirect,pyvis,unknown,0
transformers,indirect,sagemaker-schema-inference-artifacts,unknown,0
transformers,indirect,graphene,unknown,0
transformers,indirect,attrs,unknown,0
transformers,indirect,sagemaker-mlflow,unknown,0
transformers,indirect,tblib,unknown,0
transformers,indirect,mypy-extensions,unknown,0
transformers,indirect,cloudpickle,unknown,0
transformers,indirect,sagemaker-feature-store-pyspark-3-3,unknown,0
transformers,indirect,google-pasta,unknown,0
transformers,indirect,mlflow,critical,1
transformers,indirect,pyspark,unknown,0
transformers,indirect,build,unknown,0
transformers,indirect,mypy-boto3-redshift-data,unknown,0
transformers,indirect,apache-airflow,high,0
transformers,indirect,black,medium,0
transformers,indirect,flake8,unknown,0
transformers,indirect,schema,unknown,0
transformers,indirect,pathos,unknown,0
transformers,indirect,tritonclient,unknown,0
transformers,indirect,mock,unknown,0
transformers,indirect,mypy,unknown,0
transformers,indirect,sagemaker-core,unknown,0
transformers,indirect,awslogs,unknown,0
transformers,indirect,smdebug-rulesconfig,unknown,0
transformers,indirect,mypy-boto3-appflow,unknown,0
transformers,indirect,networkx,unknown,0
transformers,indirect,platformdirs,unknown,0
transformers,indirect,apache-airflow-providers-amazon,unknown,0
transformers,indirect,sagemaker-experiments,unknown,0
transformers,indirect,xgboost,unknown,0
transformers,indirect,lexicon,unknown,0
transformers,indirect,pytest-cov,unknown,0
transformers,indirect,mypy-boto3-rds,unknown,0
transformers,indirect,flask-limiter,unknown,0
transformers,indirect,deepdiff,critical,1
transformers,indirect,pysocks,unknown,0
transformers,indirect,idna,medium,0
transformers,indirect,certifi,low,0
transformers,indirect,charset_normalizer,unknown,0
transformers,indirect,chardet,unknown,0
transformers,indirect,sphinx-gallery,unknown,0
transformers,indirect,cython,unknown,0
transformers,indirect,sphinx-copybutton,unknown,0
transformers,indirect,numpydoc,unknown,0
transformers,indirect,sphinx-design,unknown,0
transformers,indirect,plotly,unknown,0
transformers,indirect,pyamg,unknown,0
transformers,indirect,scikit-image,unknown,0
transformers,indirect,towncrier,unknown,0
transformers,indirect,conda-lock,unknown,0
transformers,indirect,memory_profiler,unknown,0
transformers,indirect,seaborn,unknown,0
transformers,indirect,sphinx-remove-toctrees,unknown,0
transformers,indirect,polars,unknown,0
transformers,indirect,sphinxcontrib-sass,unknown,0
transformers,indirect,sphinxext-opengraph,unknown,0
transformers,indirect,sphinx,unknown,0
transformers,indirect,sphinx-prompt,unknown,0
transformers,indirect,threadpoolctl,unknown,0
transformers,indirect,matplotlib,unknown,0
transformers,indirect,joblib,unknown,0
transformers,indirect,pooch,unknown,0
transformers,indirect,pydata-sphinx-theme,unknown,0
transformers,indirect,meson-python,unknown,0
transformers,indirect,py-cpuinfo,unknown,0
transformers,indirect,clang-format,unknown,0
transformers,indirect,sphinx-rtd-theme,unknown,0
transformers,indirect,mpi4py,unknown,0
transformers,indirect,future,unknown,0
transformers,indirect,neural-compressor,unknown,0
transformers,indirect,mup,unknown,0
transformers,indirect,comet_ml,unknown,0
transformers,indirect,google,unknown,0
transformers,indirect,wandb,unknown,0
transformers,indirect,docutils,unknown,0
transformers,indirect,deepspeed-kernels,unknown,0
transformers,indirect,autodoc_pydantic,unknown,0
transformers,indirect,recommonmark,unknown,0
transformers,indirect,einops,unknown,0
transformers,indirect,pre-commit,unknown,0
transformers,indirect,qtorch,unknown,0
transformers,indirect,lm-eval,unknown,0
transformers,indirect,pytest-forked,unknown,0
transformers,indirect,hjson,unknown,0
transformers,indirect,pytest-randomly,unknown,0
transformers,indirect,sphinx_rtd_theme,unknown,0
transformers,indirect,tabulate,unknown,0
transformers,indirect,triton,unknown,0
transformers,indirect,diffusers,unknown,0
transformers,indirect,markdown2,unknown,0
transformers,indirect,olefile,unknown,0
transformers,indirect,check-manifest,unknown,0
transformers,indirect,sphinx-autobuild,unknown,0
transformers,indirect,arro3-core,unknown,0
transformers,indirect,nanoarrow,unknown,0
transformers,indirect,trove-classifiers,unknown,0
transformers,indirect,sphinx-inline-tabs,unknown,0
transformers,indirect,furo,unknown,0
transformers,indirect,pyroma,unknown,0
transformers,indirect,defusedxml,unknown,0
transformers,indirect,arro3-compute,unknown,0
transformers,indirect,pydantic-core,unknown,0
transformers,indirect,email-validator,unknown,0
transformers,indirect,annotated-types,unknown,0
transformers,indirect,typing-extensions,unknown,0
transformers,indirect,typing-inspection,unknown,0
transformers,indirect,tzdata,unknown,0
transformers,indirect,pytest-instafail,unknown,0
transformers,indirect,sphinx-autodoc-typehints,unknown,0
transformers,indirect,ddt,unknown,0
transformers,indirect,pytest-mock,unknown,0
transformers,indirect,pytest-sugar,unknown,0
transformers,indirect,gitdb,unknown,0
transformers,indirect,nvidia-cufft-cu12,unknown,0
transformers,indirect,nvidia-cusparselt-cu12,unknown,0
transformers,indirect,sympy,unknown,0
transformers,indirect,nvidia-cublas-cu12,unknown,0
transformers,indirect,opt-einsum,unknown,0
transformers,indirect,nvidia-cufile-cu12,unknown,0
transformers,indirect,nvidia-cuda-cupti-cu12,unknown,0
transformers,indirect,nvidia-cusparse-cu12,unknown,0
transformers,indirect,nvidia-cuda-runtime-cu12,unknown,0
transformers,indirect,nvidia-cudnn-cu12,unknown,0
