package,score,betweenness,granger_out,prop_out,avg_lag_months,indegree,persistence_months
transformers,0.565093,0.014343485751107957,0,3,1.0,8,7
sagemaker,0.291257,0.006661327441774832,0,1,1.0,1,1
browser-use,0.25037,0.0,0,4,2.0,0,1
mlflow,0.22976,0.0052931970910429895,0,1,3.0,2,88
homeassistant,0.229074,0.0,0,3,1.3333333333333333,0,11
feast,0.214896,0.0,0,3,1.6666666666666667,1,9
crawl4ai,0.204435,0.0005932983522047317,0,3,2.6666666666666665,1,8
agno,0.202303,0.0,0,2,1.0,1,2
litellm,0.185529,0.001598545521494983,0,2,2.5,3,20
qiskit,0.173414,0.0,0,2,1.5,1,14
streamlit,0.167488,0.0,0,1,1.0,1,43
sentry-sdk,0.167037,0.0,0,2,1.5,0,1
black,0.163338,0.00032118199392433034,0,1,1.0,4,1
pytorch-lightning,0.154896,0.0,0,2,2.0,1,9
lightning,0.150741,0.0,0,1,1.0,0,2
aiohttp,0.146577,0.00022093344380005522,0,1,3.0,15,95
langchain,0.14072,0.002391788640338765,0,1,3.0,4,3
open-webui,0.139259,0.0,0,2,3.0,0,16
gunicorn,0.108451,0.00016225457319077864,0,1,2.0,3,1
pillow,0.103625,0.003257834589234755,0,0,,22,3
numpy,0.1,0.0,0,0,,32,135
gradio,0.098309,0.00018088925711129522,0,1,3.0,1,26
paddlepaddle,0.094263,4.0557067897581564e-05,0,1,3.0,1,23
langchain-experimental,0.08963,0.0,0,1,3.0,0,17
flask-cors,0.087118,0.0,0,1,3.0,1,6
vllm,0.086127,0.003511921200405045,0,0,,1,30
scikit-learn,0.084779,0.0033063741928696356,0,0,,10,0
cryptography,0.079747,0.0007991346773451165,0,0,,10,128
ray,0.064656,0.0024244815297010825,0,0,,3,25
deepspeed,0.062973,0.0027867071711313632,0,0,,3,0
torch,0.059718,0.0018740679370339685,0,0,,11,9
tqdm,0.057852,0.0001341250115069502,0,0,,12,98
markdown2,0.044155,0.0,0,0,,1,115
tensorflow,0.042384,0.0,0,0,,2,106
pyarrow,0.036655,0.0,0,0,,9,61
requests,0.036441,0.00013808340237503452,0,0,,21,2
pyyaml,0.036065,0.0,0,0,,20,13
pytest,0.035938,0.0,0,0,,23,0
urllib3,0.03392,8.56117094725214e-05,0,0,,8,53
jinja2,0.033271,0.00012151339409003038,0,0,,9,45
typing-extensions,0.032813,0.0,0,0,,21,0
starlette,0.032632,0.00031897265948632974,0,0,,5,49
nltk,0.032048,0.0007653108191633462,0,0,,6,18
pydantic,0.03186,3.304796096842493e-05,0,0,,19,4
packaging,0.03125,0.0,0,0,,20,0
deepdiff,0.029579,0.00020620454754671823,0,0,,1,64
snowflake-connector-python,0.026726,0.00010131376494259677,0,0,,2,58
pandas,0.026563,0.0,0,0,,17,0
fastapi,0.025,0.0,0,0,,16,0
pytest-cov,0.025,0.0,0,0,,16,0
httpx,0.023438,0.0,0,0,,15,0
uvicorn,0.023438,0.0,0,0,,15,0
llama-index-core,0.022876,0.0007849581147012796,0,0,,2,9
mcp,0.022519,0.0005537144435238885,0,0,,7,0
setuptools,0.022372,0.0006214279138885601,0,0,,6,0
clearml,0.022222,0.0,0,0,,0,60
ipython,0.022176,0.0,0,0,,4,43
sphinx,0.021875,0.0,0,0,,14,0
langchain-community,0.020961,0.0005793979563656449,0,0,,4,7
click,0.020313,0.0,0,0,,13,0
scipy,0.020313,0.0,0,0,,13,0
rich,0.020313,0.0,0,0,,13,0
psutil,0.020313,0.0,0,0,,13,0
pypdf,0.019347,0.00044136715719151514,0,0,,6,2
langchain-core,0.019095,0.00034465617232808614,0,0,,5,11
coverage,0.01875,0.0,0,0,,12,0
waitress,0.018719,5.707447298168093e-06,0,0,,1,46
protobuf,0.017188,0.0,0,0,,11,0
pytest-timeout,0.017188,0.0,0,0,,11,0
sqlalchemy,0.017106,0.0,0,0,,10,4
apache-airflow,0.016965,6.351836509251588e-05,0,0,,1,38
keras,0.016925,0.00029181625701923963,0,0,,1,25
unstructured,0.016581,0.0006433765994660774,0,0,,2,0
pyspark,0.016539,0.0,0,0,,3,32
pyjwt,0.016282,0.00016312252600570744,0,0,,8,1
openai,0.015625,0.0,0,0,,10,0
boto3,0.015625,0.0,0,0,,10,0
authlib,0.014356,0.00018503175918254625,0,0,,6,3
python-dotenv,0.014063,0.0,0,0,,9,0
matplotlib,0.014063,0.0,0,0,,9,0
pytest-xdist,0.014063,0.0,0,0,,9,0
tiktoken,0.014063,0.0,0,0,,9,0
tensorflow-cpu,0.013044,0.0,0,0,,1,31
python-multipart,0.01287,0.0,0,0,,8,1
mypy,0.0125,0.0,0,0,,8,0
ruff,0.0125,0.0,0,0,,8,0
virtualenv,0.011659,0.00025863678804855276,0,0,,4,0
fastmcp,0.01162,0.00038847463868176387,0,0,,2,1
flask,0.011602,0.0001712234189450428,0,0,,3,9
torchvision,0.010938,0.0,0,0,,7,0
cloudpickle,0.010938,0.0,0,0,,7,0
platformdirs,0.010938,0.0,0,0,,7,0
build,0.010938,0.0,0,0,,7,0
sentencepiece,0.010938,0.0,0,0,,7,0
filelock,0.010938,0.0,0,0,,7,0
jsonschema,0.010938,0.0,0,0,,7,0
onnx,0.010837,0.0001307715574492708,0,0,,4,5
llama-index,0.01037,0.0,0,0,,0,28
orjson,0.009745,0.0,0,0,,6,1
google-cloud-storage,0.009375,0.0,0,0,,6,0
importlib-metadata,0.009375,0.0,0,0,,6,0
onnxruntime,0.009375,0.0,0,0,,6,0
fsspec,0.009375,0.0,0,0,,6,0
weasyprint,0.008148,0.0,0,0,,0,22
tornado,0.008021,0.0,0,0,,3,9
ninja,0.007812,0.0,0,0,,5,0
huggingface-hub,0.007812,0.0,0,0,,5,0
networkx,0.007812,0.0,0,0,,5,0
pytest-rerunfailures,0.007812,0.0,0,0,,5,0
tensorboard,0.007812,0.0,0,0,,5,0
tenacity,0.007812,0.0,0,0,,5,0
anyio,0.007812,0.0,0,0,,5,0
