month,package,degree,in_degree,out_degree,betweenness
2011-07,markdown2,0,0,0,0.0
2011-08,markdown2,0,0,0,0.0
2011-09,markdown2,0,0,0,0.0
2011-10,markdown2,0,0,0,0.0
2011-11,markdown2,0,0,0,0.0
2011-12,markdown2,0,0,0,0.0
2011-12,ipython,0,0,0,0.0
2012-01,markdown2,0,0,0,0.0
2012-01,ipython,0,0,0,0.0
2012-02,markdown2,0,0,0,0.0
2012-02,ipython,0,0,0,0.0
2012-03,markdown2,0,0,0,0.0
2012-03,ipython,0,0,0,0.0
2012-04,markdown2,0,0,0,0.0
2012-04,ipython,0,0,0,0.0
2012-05,markdown2,0,0,0,0.0
2012-05,ipython,0,0,0,0.0
2012-06,markdown2,0,0,0,0.0
2012-06,ipython,0,0,0,0.0
2012-07,markdown2,0,0,0,0.0
2012-07,ipython,0,0,0,0.0
2012-08,markdown2,0,0,0,0.0
2012-08,ipython,0,0,0,0.0
2012-09,markdown2,0,0,0,0.0
2012-09,ipython,0,0,0,0.0
2012-10,markdown2,0,0,0,0.0
2012-10,ipython,0,0,0,0.0
2012-11,markdown2,0,0,0,0.0
2012-11,ipython,0,0,0,0.0
2012-12,markdown2,0,0,0,0.0
2012-12,ipython,0,0,0,0.0
2013-01,markdown2,0,0,0,0.0
2013-01,ipython,0,0,0,0.0
2013-02,markdown2,0,0,0,0.0
2013-02,ipython,0,0,0,0.0
2013-03,markdown2,0,0,0,0.0
2013-03,ipython,0,0,0,0.0
2013-04,markdown2,0,0,0,0.0
2013-04,ipython,0,0,0,0.0
2013-05,markdown2,0,0,0,0.0
2013-05,ipython,0,0,0,0.0
2013-06,markdown2,0,0,0,0.0
2013-06,ipython,0,0,0,0.0
2013-07,markdown2,0,0,0,0.0
2013-07,ipython,0,0,0,0.0
2013-08,markdown2,0,0,0,0.0
2013-08,ipython,0,0,0,0.0
2013-09,markdown2,0,0,0,0.0
2013-09,ipython,0,0,0,0.0
2013-10,markdown2,0,0,0,0.0
2013-10,ipython,0,0,0,0.0
2013-11,markdown2,0,0,0,0.0
2013-11,ipython,0,0,0,0.0
2013-12,markdown2,0,0,0,0.0
2013-12,ipython,0,0,0,0.0
2014-01,markdown2,0,0,0,0.0
2014-01,ipython,0,0,0,0.0
2014-02,markdown2,0,0,0,0.0
2014-02,ipython,0,0,0,0.0
2014-03,markdown2,0,0,0,0.0
2014-03,ipython,0,0,0,0.0
2014-04,markdown2,0,0,0,0.0
2014-04,ipython,0,0,0,0.0
2014-05,markdown2,0,0,0,0.0
2014-05,ipython,0,0,0,0.0
2014-06,markdown2,0,0,0,0.0
2014-06,ipython,0,0,0,0.0
2014-07,markdown2,0,0,0,0.0
2014-07,cryptography,0,0,0,0.0
2014-07,ipython,0,0,0,0.0
2014-08,markdown2,0,0,0,0.0
2014-08,cryptography,0,0,0,0.0
2014-08,ipython,0,0,0,0.0
2014-09,numpy,0,0,0,0.0
2014-09,cryptography,0,0,0,0.0
2014-09,markdown2,0,0,0,0.0
2014-09,ipython,0,0,0,0.0
2014-10,numpy,0,0,0,0.0
2014-10,cryptography,0,0,0,0.0
2014-10,markdown2,0,0,0,0.0
2014-10,ipython,0,0,0,0.0
2014-11,numpy,0,0,0,0.0
2014-11,cryptography,0,0,0,0.0
2014-11,markdown2,0,0,0,0.0
2014-11,ipython,0,0,0,0.0
2014-12,numpy,0,0,0,0.0
2014-12,cryptography,0,0,0,0.0
2014-12,markdown2,0,0,0,0.0
2014-12,ipython,0,0,0,0.0
2015-01,numpy,0,0,0,0.0
2015-01,cryptography,0,0,0,0.0
2015-01,markdown2,0,0,0,0.0
2015-01,ipython,0,0,0,0.0
2015-02,numpy,0,0,0,0.0
2015-02,cryptography,0,0,0,0.0
2015-02,markdown2,0,0,0,0.0
2015-02,ipython,0,0,0,0.0
2015-03,numpy,0,0,0,0.0
2015-03,cryptography,0,0,0,0.0
2015-03,markdown2,0,0,0,0.0
2015-03,ipython,0,0,0,0.0
2015-04,numpy,0,0,0,0.0
2015-04,cryptography,0,0,0,0.0
2015-04,markdown2,0,0,0,0.0
2015-04,ipython,0,0,0,0.0
2015-05,numpy,0,0,0,0.0
2015-05,cryptography,0,0,0,0.0
2015-05,markdown2,0,0,0,0.0
2015-05,ipython,0,0,0,0.0
2015-06,numpy,0,0,0,0.0
2015-06,cryptography,0,0,0,0.0
2015-06,markdown2,0,0,0,0.0
2015-06,ipython,0,0,0,0.0
2015-07,numpy,0,0,0,0.0
2015-07,cryptography,0,0,0,0.0
2015-07,markdown2,0,0,0,0.0
2015-08,numpy,0,0,0,0.0
2015-08,cryptography,0,0,0,0.0
2015-08,markdown2,0,0,0,0.0
2015-09,numpy,0,0,0,0.0
2015-09,cryptography,0,0,0,0.0
2015-09,markdown2,0,0,0,0.0
2015-10,numpy,0,0,0,0.0
2015-10,cryptography,0,0,0,0.0
2015-10,markdown2,0,0,0,0.0
2015-11,numpy,0,0,0,0.0
2015-11,cryptography,0,0,0,0.0
2015-11,markdown2,0,0,0,0.0
2015-12,numpy,0,0,0,0.0
2015-12,cryptography,0,0,0,0.0
2015-12,markdown2,0,0,0,0.0
2016-01,numpy,0,0,0,0.0
2016-01,cryptography,0,0,0,0.0
2016-01,markdown2,0,0,0,0.0
2016-02,numpy,0,0,0,0.0
2016-02,cryptography,0,0,0,0.0
2016-02,markdown2,0,0,0,0.0
2016-03,numpy,0,0,0,0.0
2016-03,cryptography,0,0,0,0.0
2016-03,markdown2,0,0,0,0.0
2016-04,numpy,0,0,0,0.0
2016-04,cryptography,0,0,0,0.0
2016-04,tqdm,0,0,0,0.0
2016-04,markdown2,0,0,0,0.0
2016-05,numpy,0,0,0,0.0
2016-05,cryptography,0,0,0,0.0
2016-05,tqdm,0,0,0,0.0
2016-05,markdown2,0,0,0,0.0
2016-06,numpy,0,0,0,0.0
2016-06,cryptography,0,0,0,0.0
2016-06,tqdm,0,0,0,0.0
2016-06,markdown2,0,0,0,0.0
2016-07,numpy,0,0,0,0.0
2016-07,cryptography,0,0,0,0.0
2016-07,tqdm,0,0,0,0.0
2016-07,markdown2,0,0,0,0.0
2016-08,numpy,0,0,0,0.0
2016-08,cryptography,0,0,0,0.0
2016-08,tqdm,0,0,0,0.0
2016-08,markdown2,0,0,0,0.0
2016-09,numpy,0,0,0,0.0
2016-09,tqdm,0,0,0,0.0
2016-09,cryptography,0,0,0,0.0
2016-09,markdown2,0,0,0,0.0
2016-09,urllib3,0,0,0,0.0
2016-10,numpy,0,0,0,0.0
2016-10,aiohttp,0,0,0,0.0
2016-10,tqdm,0,0,0,0.0
2016-10,cryptography,0,0,0,0.0
2016-10,markdown2,0,0,0,0.0
2016-10,urllib3,0,0,0,0.0
2016-11,numpy,0,0,0,0.0
2016-11,aiohttp,0,0,0,0.0
2016-11,tqdm,0,0,0,0.0
2016-11,cryptography,0,0,0,0.0
2016-11,markdown2,0,0,0,0.0
2016-12,numpy,0,0,0,0.0
2016-12,aiohttp,0,0,0,0.0
2016-12,tqdm,0,0,0,0.0
2016-12,cryptography,0,0,0,0.0
2016-12,markdown2,0,0,0,0.0
2017-01,numpy,0,0,0,0.0
2017-01,aiohttp,0,0,0,0.0
2017-01,tqdm,0,0,0,0.0
2017-01,cryptography,0,0,0,0.0
2017-01,markdown2,0,0,0,0.0
2017-02,tensorflow,0,0,0,0.0
2017-02,numpy,0,0,0,0.0
2017-02,aiohttp,0,0,0,0.0
2017-02,tqdm,0,0,0,0.0
2017-02,cryptography,0,0,0,0.0
2017-02,markdown2,0,0,0,0.0
2017-03,tensorflow,0,0,0,0.0
2017-03,numpy,0,0,0,0.0
2017-03,aiohttp,0,0,0,0.0
2017-03,tqdm,0,0,0,0.0
2017-03,cryptography,0,0,0,0.0
2017-03,markdown2,0,0,0,0.0
2017-04,tensorflow,0,0,0,0.0
2017-04,numpy,0,0,0,0.0
2017-04,aiohttp,0,0,0,0.0
2017-04,tqdm,0,0,0,0.0
2017-04,cryptography,0,0,0,0.0
2017-04,markdown2,0,0,0,0.0
2017-05,tensorflow,0,0,0,0.0
2017-05,numpy,0,0,0,0.0
2017-05,aiohttp,0,0,0,0.0
2017-05,tqdm,0,0,0,0.0
2017-05,cryptography,0,0,0,0.0
2017-05,markdown2,0,0,0,0.0
2017-06,tensorflow,0,0,0,0.0
2017-06,numpy,0,0,0,0.0
2017-06,aiohttp,0,0,0,0.0
2017-06,tqdm,0,0,0,0.0
2017-06,cryptography,0,0,0,0.0
2017-06,markdown2,0,0,0,0.0
