cwe,freq,pagerank,out_strength,in_strength,betweenness,community,reach_nodes
CWE-208,5,0.1245634309485224,0.6,0.42857142857142855,0.0,2,2
CWE-203,7,0.1245634309485224,0.42857142857142855,0.6,0.0,2,2
CWE-400,17,0.1245634309485224,0.29411764705882354,0.18518518518518517,0.0,0,2
CWE-770,27,0.1245634309485224,0.18518518518518517,0.29411764705882354,0.0,0,2
CWE-22,50,0.034571313243624766,0.0,0.42857142857142855,0.0,1,0
CWE-29,14,0.018686998518491447,0.42857142857142855,0.0,0.0,1,1
CWE-502,46,0.018686998518491447,0.0,0.0,0.0,3,0
CWE-79,26,0.018686998518491447,0.0,0.0,0.0,4,0
CWE-1333,21,0.018686998518491447,0.0,0.0,0.0,5,0
CWE-94,19,0.018686998518491447,0.0,0.0,0.0,6,0
CWE-89,19,0.018686998518491447,0.0,0.0,0.0,7,0
CWE-918,15,0.018686998518491447,0.0,0.0,0.0,8,0
CWE-78,13,0.018686998518491447,0.0,0.0,0.0,9,0
CWE-200,13,0.018686998518491447,0.0,0.0,0.0,10,0
CWE-444,12,0.018686998518491447,0.0,0.0,0.0,11,0
CWE-674,9,0.018686998518491447,0.0,0.0,0.0,12,0
CWE-20,9,0.018686998518491447,0.0,0.0,0.0,13,0
CWE-476,8,0.018686998518491447,0.0,0.0,0.0,14,0
CWE-77,8,0.018686998518491447,0.0,0.0,0.0,15,0
CWE-352,8,0.018686998518491447,0.0,0.0,0.0,16,0
CWE-862,8,0.018686998518491447,0.0,0.0,0.0,17,0
CWE-601,7,0.018686998518491447,0.0,0.0,0.0,18,0
CWE-369,7,0.018686998518491447,0.0,0.0,0.0,19,0
CWE-345,5,0.018686998518491447,0.0,0.0,0.0,20,0
CWE-122,5,0.018686998518491447,0.0,0.0,0.0,21,0
CWE-276,5,0.018686998518491447,0.0,0.0,0.0,22,0
CWE-125,5,0.018686998518491447,0.0,0.0,0.0,23,0
CWE-248,5,0.018686998518491447,0.0,0.0,0.0,24,0
CWE-284,5,0.018686998518491447,0.0,0.0,0.0,25,0
CWE-863,5,0.018686998518491447,0.0,0.0,0.0,26,0
