package,degree,in_degree,out_degree,betweenness,is_ai_lib
agno,140,1,139,0.101989792708807,False
aiohttp,32,20,12,0.016357790938403952,False
opentelemetry-exporter-otlp-proto-grpc,1,1,0,0.0,False
typing-extensions,44,44,0,0.04565132006670156,False
mem0ai,2,2,0,6.280747746521274e-05,False
google-genai,4,4,0,0.00042712197084142443,False
arxiv,1,1,0,0.0,False
docstring-parser,2,2,0,0.00015518646503558347,False
lxml-html-clean,3,2,1,9.955514132110066e-05,False
pgvector,2,2,0,5.2895076759509475e-05,False
anthropic,5,5,0,0.0008151659285959745,False
litellm,49,3,46,0.0224358053416627,False
clickhouse-connect,3,3,0,0.0003941860789604741,False
tantivy,1,1,0,0.0,False
boto3,13,13,0,0.004411643803243488,False
agentql,1,1,0,0.0,False
arize-phoenix,1,1,0,0.0,False
pytest,52,52,0,0.049678208030885955,False
cerebras-cloud-sdk,1,1,0,0.0,False
elevenlabs,1,1,0,0.0,False
upstash-vector,1,1,0,0.0,False
infinity-client,1,1,0,0.0,False
pytest-asyncio,8,8,0,0.0018275896854688738,False
google-cloud-bigquery,3,3,0,0.0003941860789604741,False
memorisdk,1,1,0,0.0,False
email-validator,4,4,0,0.0007822213415269236,False
llama-api-client,1,1,0,0.0,False
ollama,2,2,0,6.394572328566065e-05,False
youtube-transcript-api,2,2,0,5.2895076759509475e-05,False
agno-infra,1,1,0,0.0,False
chromadb,3,3,0,0.00014721915256464248,False
qdrant-client,13,4,9,0.004223967122271859,False
pinecone,2,2,0,5.2895076759509475e-05,False
opentelemetry-distro,3,3,0,0.0004620618349551101,False
markdown,5,5,0,0.0006441794522095027,False
googlemaps,1,1,0,0.0,False
oxylabs,1,1,0,0.0,False
twine,10,10,0,0.0016062001557041856,False
google-auth-oauthlib,4,4,0,0.00027821593544444023,False
pillow,44,22,22,0.03163184425639347,True
pyyaml,33,33,0,0.029543620837941608,False
openlit,1,1,0,0.0,False
python-docx,2,2,0,0.0,False
exa-py,1,1,0,0.0,False
browserbase,1,1,0,0.0,False
google-cloud-storage,6,6,0,0.001047685896243719,False
pydantic,34,28,6,0.026942048947895907,False
cohere,1,1,0,0.0,False
valyu,1,1,0,0.0,False
gitpython,19,4,15,0.006107665966712695,False
fastmcp,17,2,15,0.0072274789057482245,False
mcp,23,7,16,0.0042395371905637235,False
ddgs,2,2,0,5.2895076759509475e-05,False
lancedb,2,2,0,6.280747746521274e-05,False
pylance,1,1,0,0.0,False
atlassian-python-api,1,1,0,0.0,False
webexpythonsdk,1,1,0,0.0,False
packaging,33,33,0,0.035653733679730605,False
h11,2,2,0,0.0003194163107088734,False
newspaper4k,1,1,0,0.0,False
pypdf,22,6,16,0.008130664291964037,False
ibm-watsonx-ai,1,1,0,0.0,False
python-multipart,10,10,0,0.0011130676696599752,False
pymongo,24,4,20,0.014072026171121351,False
ag-ui-protocol,1,1,0,0.0,False
mistralai,1,1,0,0.0,False
google-cloud-firestore,1,1,0,0.0,False
couchbase,2,2,0,0.00017463880834924303,False
tavily-python,1,1,0,0.0,False
build,16,16,0,0.007649924765527899,False
redis,6,6,0,0.0015833636786553053,False
firecrawl-py,2,2,0,5.2895076759509475e-05,False
daytona,1,1,0,0.0,False
unstructured,49,2,47,0.02907911605180479,False
brave-search,1,1,0,0.0,False
openai,10,10,0,0.0027695363334483197,False
opentelemetry-exporter-otlp,4,4,0,0.0011719220485516258,False
web3,1,1,0,0.0,False
apify-client,1,1,0,0.0,False
duckdb,9,3,6,0.0022825700013797993,False
python-pptx,3,3,0,5.2895076759509475e-05,False
google-api-python-client,5,5,0,0.0005537513124701329,False
chonkie,1,1,0,0.0,False
pymilvus,4,4,0,0.0005340220198412299,False
groq,2,2,0,6.394572328566065e-05,False
uvicorn,19,19,0,0.008241065418784024,False
google-maps-places,1,1,0,0.0,False
pydantic-settings,4,4,0,0.00030721994799022496,False
yfinance,1,1,0,0.0,False
redisvl,2,2,0,0.0,False
a2a-sdk,1,1,0,0.0,False
psycopg,4,4,0,0.0007530889279241688,False
todoist-api-python,1,1,0,0.0,False
rich,22,22,0,0.012604097151284929,False
asyncpg,4,4,0,0.0009061107541850613,False
pytest-mock,11,11,0,0.0026322531523176648,False
surrealdb,1,1,0,0.0,False
sqlalchemy,15,15,0,0.012666093141582223,False
azure-ai-inference,1,1,0,0.0,False
fal-client,1,1,0,0.0,False
notion-client,1,1,0,0.0,False
timeout-decorator,3,3,0,0.0002707112853180966,False
crawl4ai,41,1,40,0.01772106541135874,False
typer,7,7,0,0.0007297604790909135,False
cassio,1,1,0,0.0,False
mypy,19,19,0,0.0117046782517985,False
parallel-web,1,1,0,0.0,False
lmstudio,1,1,0,0.0,False
portkey-ai,1,1,0,0.0,False
opentelemetry-sdk,5,5,0,0.0010360231758758786,False
opencv-python,3,2,1,0.00019798833847020197,False
types-pyyaml,5,5,0,0.0010522074641227555,False
weaviate-client,2,2,0,6.280747746521274e-05,False
langfuse,1,1,0,0.0,False
zep-cloud,1,1,0,0.0,False
scrapegraph-py,1,1,0,0.0,False
memory-profiler,2,2,0,9.767626911027727e-05,False
neo4j,1,1,0,0.0,False
