package,severity_max,cwe_list,cwe_count
a2a-sdk,unknown,[],0
absl-py,unknown,[],0
accelerate,unknown,[],0
adbc-driver-manager,unknown,[],0
advanced-alchemy,unknown,[],0
adyen,medium,[],0
ag-ui-protocol,unknown,[],0
agate,unknown,[],0
agentmail,unknown,[],0
agentql,unknown,[],0
agno,high,[],0
agno-infra,unknown,[],0
aioboto3,unknown,[],0
aiobotocore,unknown,[],0
aiocache,unknown,[],0
aiodns,unknown,[],0
aiofiles,unknown,[],0
aiohappyeyeballs,unknown,[],0
aiohasupervisor,unknown,[],0
aiohttp,high,"['CWE-20', 'CWE-22', 'CWE-444', 'CWE-601', 'CWE-61', 'CWE-772', 'CWE-79', 'CWE-80', 'CWE-835', 'CWE-93']",10
aiohttp-asyncmdnsresolver,unknown,[],0
aiohttp-fast-zlib,unknown,[],0
aiohttp-json-rpc,unknown,[],0
aiohttp_cors,unknown,[],0
aiomysql,high,[],0
aioquic,unknown,[],0
aiosignal,unknown,[],0
aiosqlite,unknown,[],0
aiozoneinfo,unknown,[],0
alabaster,unknown,[],0
alembic,unknown,[],0
aliyunstoreplugin,unknown,[],0
alphashape,unknown,[],0
altair,unknown,[],0
altgraph,unknown,[],0
amqp,unknown,[],0
anki,high,[],0
annotated-types,unknown,[],0
annotatedyaml,unknown,[],0
ansible,medium,['CWE-94'],1
ansible-core,high,[],0
anthropic,unknown,[],0
antlr4-python3-runtime,unknown,[],0
anyio,unknown,[],0
apache-airflow,high,[],0
apache-airflow-core,unknown,[],0
apache-airflow-providers-airbyte,unknown,[],0
apache-airflow-providers-alibaba,unknown,[],0
apache-airflow-providers-amazon,high,['CWE-209'],1
apache-airflow-providers-apache-beam,unknown,[],0
apache-airflow-providers-apache-cassandra,unknown,[],0
apache-airflow-providers-apache-drill,high,['CWE-20'],1
apache-airflow-providers-apache-druid,unknown,[],0
apache-airflow-providers-apache-flink,unknown,[],0
apache-airflow-providers-apache-hdfs,high,['CWE-829'],1
apache-airflow-providers-apache-hive,critical,"['CWE-20', 'CWE-77', 'CWE-78', 'CWE-94']",4
apache-airflow-providers-apache-iceberg,unknown,[],0
apache-airflow-providers-apache-impala,unknown,[],0
apache-airflow-providers-apache-kafka,unknown,[],0
apache-airflow-providers-apache-kylin,unknown,[],0
apache-airflow-providers-apache-livy,unknown,[],0
apache-airflow-providers-apache-pig,unknown,[],0
apache-airflow-providers-apache-pinot,unknown,[],0
apache-airflow-providers-apache-spark,high,"['CWE-20', 'CWE-502']",2
apache-airflow-providers-apache-tinkerpop,unknown,[],0
apache-airflow-providers-apprise,unknown,[],0
apache-airflow-providers-arangodb,unknown,[],0
apache-airflow-providers-asana,unknown,[],0
apache-airflow-providers-atlassian-jira,unknown,[],0
apache-airflow-providers-celery,high,['CWE-532'],1
apache-airflow-providers-cloudant,unknown,[],0
apache-airflow-providers-cncf-kubernetes,medium,[],0
apache-airflow-providers-cohere,unknown,[],0
apache-airflow-providers-common-compat,unknown,[],0
apache-airflow-providers-common-io,unknown,[],0
apache-airflow-providers-common-messaging,unknown,[],0
apache-airflow-providers-common-sql,high,[],0
apache-airflow-providers-databricks,unknown,[],0
apache-airflow-providers-datadog,unknown,[],0
apache-airflow-providers-dbt-cloud,unknown,[],0
apache-airflow-providers-dingding,unknown,[],0
apache-airflow-providers-discord,unknown,[],0
apache-airflow-providers-docker,high,[],0
apache-airflow-providers-edge3,unknown,[],0
apache-airflow-providers-elasticsearch,unknown,[],0
apache-airflow-providers-exasol,unknown,[],0
apache-airflow-providers-fab,low,[],0
apache-airflow-providers-facebook,unknown,[],0
apache-airflow-providers-ftp,low,[],0
apache-airflow-providers-git,unknown,[],0
apache-airflow-providers-github,unknown,[],0
apache-airflow-providers-google,critical,['CWE-20'],1
apache-airflow-providers-grpc,unknown,[],0
apache-airflow-providers-hashicorp,unknown,[],0
