package,is_ai_lib,num_cves,active_cves,max_sev,in_degree,betweenness,pagerank,direct_dependents,indirect_dependents,indirect_ai_dependents,pindex_general,pindex_ai
pyarrow,False,2,0,4,15,0.0,0.000958800381051667,15,53,15,0.379103359371359,0.5865853658536586
pillow,True,4,0,4,22,0.00024251339792688337,0.0010785216975451317,22,37,14,0.3771682610888691,0.5824206629536461
mlflow,True,46,15,4,2,0.0005696755535776786,0.0006000838312664021,2,16,6,0.45947664856407583,0.5151305428854712
requests,False,2,0,2,41,0.0002247388458408604,0.00162770794531158,41,63,13,0.3898407404604994,0.5016975667794544
brotli,False,1,0,3,9,0.0,0.0009595601511335588,9,81,14,0.34766074780992107,0.49528455284552847
pydantic,False,1,0,2,28,9.469500776648235e-05,0.0013114030208465873,28,46,13,0.29408995334739296,0.4670791483468907
cryptography,False,5,0,3,31,0.0004704117366245966,0.002926058706391204,31,69,10,0.487564294010287,0.45280684286132616
paddlepaddle,False,24,24,4,1,2.9389942921356775e-06,0.000593036879213014,1,3,0,0.5602368240499331,0.4525048153604718
aiohttp,False,12,0,3,20,0.00023266298218004594,0.0010394907880986112,20,53,11,0.33417223193840373,0.44732210731104305
urllib3,False,3,0,2,12,0.00012658689413357798,0.0010369688555808894,12,65,13,0.2626194640026035,0.4287686751568955
idna,False,1,1,2,6,3.829078431230947e-05,0.0011360691669888665,6,71,13,0.27172483631091776,0.42465797283910983
setuptools,False,2,0,3,14,0.0005891785776341015,0.0009083762123660461,14,36,10,0.2719328063731345,0.4140020879332693
h2,False,1,0,2,4,6.0082159245069745e-05,0.0008290115022773721,4,73,13,0.2408046857756517,0.4077677357237431
certifi,False,1,0,1,13,0.0,0.0011598305468733618,13,98,14,0.27220047141932524,0.40504065040650405
virtualenv,False,1,0,3,6,0.0002452905946144839,0.0006460615986593612,6,36,10,0.23147221022764125,0.3867917750867802
open-webui,False,22,22,3,0,0.0,0.0005823533683076051,0,0,0,0.4541666666666666,0.37499999999999994
authlib,False,4,0,3,7,4.83873494636074e-05,0.000696130148831824,7,31,9,0.22706296402982473,0.3581563476118019
jinja2,False,5,0,2,25,3.9985712876891243e-05,0.0014803765645845538,25,60,9,0.3188954474146536,0.35187071147591636
scikit-learn,True,1,0,2,10,0.000247381631338949,0.0008522626595209843,10,23,10,0.16170715724164977,0.34659468163110535
tornado,False,2,1,3,7,0.0,0.0007348335600401636,7,25,8,0.2310527764170927,0.3429065040650407
waitress,False,2,0,4,2,1.0510924870229443e-05,0.0006041144825856047,2,18,7,0.2449802589505879,0.3417800081617597
orjson,False,1,0,3,11,0.0,0.0007690100990441001,11,26,8,0.2346026325368612,0.3401626016260163
python-multipart,False,2,0,3,10,0.0,0.0008061784983355337,10,27,8,0.23457079420129817,0.3377235772357724
pip,False,1,1,2,3,0.0,0.000639409763682979,3,37,10,0.17017026643073527,0.3364837398373984
mcp,False,2,0,3,7,6.230588973666887e-05,0.0006715985717344539,7,21,8,0.20560810019603204,0.3318012549659397
starlette,False,3,0,3,7,2.8169554892027527e-05,0.0007405178955762147,7,24,8,0.21467116302847772,0.33103709472395965
langchain-community,True,6,0,3,4,6.921188505219413e-05,0.0008725367532767389,4,20,8,0.20116519990084733,0.32463877622004716
werkzeug,False,3,0,3,7,1.6160029038329105e-05,0.0010530650438894493,7,34,7,0.24841492540833798,0.3041015883524977
vllm,True,25,5,4,1,0.00036981604914637753,0.0005931870151048554,1,12,3,0.3015272435754969,0.30321755584038157
langchain-core,True,3,0,2,5,3.911555746713506e-05,0.001731058961030142,5,24,9,0.18295131402062675,0.3030707447735086
