package,is_ai_lib,num_cves,active_cves,max_sev,in_degree,betweenness,pagerank,direct_dependents,indirect_dependents,indirect_ai_dependents,pindex_general,pindex_ai
paddlepaddle,False,32,31,4,1,2.8904167055257434e-06,0.0005885811236869601,1,3,0,0.5602368265407318,0.4525048153604718
cryptography,False,8,0,3,31,0.0004626364690987773,0.002904087640451508,31,69,10,0.487564294010287,0.45280684286132616
mlflow,True,53,15,4,2,0.0005602595898864485,0.0005955752027814697,2,16,6,0.410081491153517,0.4727918332080518
certifi,False,3,0,3,13,0.0,0.0011511051863460492,13,98,14,0.4055331890694219,0.505040650406504
requests,False,3,0,2,41,0.00022102421775272013,0.0016154879431973146,41,63,13,0.38984089715062203,0.5016975667794544
jinja2,False,5,0,3,25,3.932480331485679e-05,0.0014692638321425425,25,60,9,0.38556232122383055,0.40187071147591635
pyarrow,False,2,0,4,15,0.0,0.0009515992731691932,15,53,15,0.37910338900692664,0.5865853658536586
scipy,False,2,0,4,18,0.0,0.0009877347527944514,18,35,11,0.35489777748604245,0.4872357723577236
aiohttp,False,13,0,3,20,0.00022881737887349313,0.0010316841442404737,20,53,11,0.33417227233899593,0.44732210731104305
pillow,True,7,0,3,22,0.00023850498061781062,0.001070423146945746,22,37,14,0.3105016829432912,0.5324206629536461
wheel,False,1,0,3,12,0.0,0.0009250775411625556,12,57,10,0.30848420251640785,0.39593495934959344
apache-airflow,False,55,0,4,8,0.0015581606758098918,0.0012018519347291566,8,21,5,0.2989459300796792,0.3383120071940237
torch,True,8,1,4,11,0.0002864025522447429,0.0007121061803613458,11,14,4,0.28587186523352576,0.2996923803604779
vllm,True,25,5,4,1,0.0003637034917980278,0.0005887301198343473,1,12,3,0.2850621917614622,0.2891046526145752
nltk,False,1,1,4,6,7.355669045404905e-05,0.0006979428892764396,6,16,6,0.27105193181049664,0.3359858454022282
gradio,True,40,11,3,1,2.149620077573778e-05,0.0005938227033376123,1,1,0,0.2639074123257929,0.2093799286480857
django,False,31,0,4,5,1.3278063986277208e-05,0.001194976611470015,5,5,0,0.25502168736699093,0.1624973540517801
flask,False,2,0,3,10,5.421641647242952e-05,0.0009996851934312933,10,32,7,0.25335412135515606,0.31229097160784336
langchain,True,16,0,4,4,0.00018152573716687,0.0006156217056732137,4,18,7,0.25298716204891647,0.35055460942031885
langchain-core,True,3,0,3,5,3.846903039297908e-05,0.0017180663392982575,5,24,9,0.24961827890851498,0.3530707447735086
werkzeug,False,5,0,3,7,1.5892925692014662e-05,0.0010451574942910197,7,34,7,0.24841500895027782,0.3041015883524977
apache-airflow-providers-snowflake,False,1,0,4,1,0.00015451455533903148,0.0005877062995938843,1,21,5,0.24693391152882005,0.2892893808886684
gitpython,False,5,0,4,4,4.473499584591136e-05,0.0006136800214003543,4,15,5,0.2467812396147552,0.29410767811597105
gevent,False,1,0,4,1,0.0,0.0006350689750390492,1,18,7,0.24284759488666344,0.3391056910569106
eventlet,False,2,0,4,1,8.048340574802297e-05,0.0006350689750390492,1,18,7,0.24284759488666344,0.3409376349912548
keras,True,9,1,4,1,2.1530160018669436e-05,0.0005837632589671842,1,13,4,0.24172819127156195,0.2692731747384895
h2,False,1,0,2,4,5.908908270108015e-05,0.0008227641302889759,4,73,13,0.24080382726823316,0.4077677357237431
orjson,False,1,0,3,11,0.0,0.0007632341491348241,11,26,8,0.23460267507033541,0.3401626016260163
pydantic,False,1,0,1,28,9.31298278157714e-05,0.001301549036277166,28,46,13,0.22742307133220394,0.4170791483468907
authlib,False,4,0,3,7,4.75875722521704e-05,0.0006909008849093293,7,31,9,0.22706298665514696,0.3581563476118019
