source,target,src_month,dst_month,lag_months
flask-cors,flask,2024-08,2024-11,3
langchain,langchain-core,2023-10,2024-01,3
black,aiohttp,2024-03,2024-04,1
sentry-sdk,aiohttp,2024-07,2024-08,1
sentry-sdk,starlette,2024-07,2024-09,2
litellm,aiohttp,2024-04,2024-07,3
litellm,azure-identity,2024-04,2024-06,2
qiskit,pillow,2023-11,2024-01,2
qiskit,qiskit,2023-11,2023-12,1
crawl4ai,aiohttp,2025-04,2025-07,3
crawl4ai,pillow,2025-04,2025-07,3
crawl4ai,requests,2025-04,2025-06,2
lightning,onnx,2024-06,2024-07,1
mlflow,sqlalchemy,2018-08,2018-11,3
paddlepaddle,pillow,2024-01,2024-04,3
browser-use,aiohttp,2025-05,2025-07,2
browser-use,pillow,2025-05,2025-07,2
browser-use,requests,2025-05,2025-06,1
browser-use,pypdf,2025-05,2025-08,3
pytorch-lightning,torch,2025-03,2025-04,1
pytorch-lightning,requests,2025-03,2025-06,3
aiohttp,brotli,2025-07,2025-10,3
transformers,pillow,2023-12,2024-01,1
transformers,gitpython,2023-12,2024-01,1
transformers,urllib3,2023-12,2024-01,1
streamlit,streamlit,2020-07,2020-08,1
open-webui,transformers,2024-08,2024-11,3
open-webui,pyjwt,2024-08,2024-11,3
gunicorn,tornado,2024-04,2024-06,2
gradio,pillow,2023-10,2024-01,3
homeassistant,urllib3,2023-12,2024-01,1
homeassistant,pillow,2023-12,2024-01,1
homeassistant,orjson,2023-12,2024-02,2
langchain-experimental,langchain-community,2024-02,2024-05,3
feast,requests,2025-03,2025-06,3
feast,torch,2025-03,2025-04,1
feast,feast,2025-03,2025-04,1
agno,agno,2025-09,2025-10,1
agno,fastmcp,2025-09,2025-10,1
sagemaker,onnx,2024-05,2024-06,1
