source,target,source_severity,target_severity,edge_severity_score,shared_cwes,shared_cwe_count
agno,aiohttp,high,high,3,,0
agno,opentelemetry-exporter-otlp-proto-grpc,high,unknown,3,,0
agno,typing-extensions,high,unknown,3,,0
agno,mem0ai,high,unknown,3,,0
agno,google-genai,high,unknown,3,,0
agno,arxiv,high,unknown,3,,0
agno,docstring-parser,high,unknown,3,,0
agno,lxml_html_clean,high,high,3,,0
agno,pgvector,high,unknown,3,,0
agno,anthropic,high,unknown,3,,0
agno,litellm,high,critical,4,,0
agno,clickhouse-connect,high,unknown,3,,0
agno,tantivy,high,unknown,3,,0
agno,boto3,high,unknown,3,,0
agno,agentql,high,unknown,3,,0
agno,arize-phoenix,high,unknown,3,,0
agno,pytest,high,unknown,3,,0
agno,cerebras-cloud-sdk,high,unknown,3,,0
agno,elevenlabs,high,unknown,3,,0
agno,upstash-vector,high,unknown,3,,0
agno,infinity_client,high,unknown,3,,0
agno,pytest-asyncio,high,unknown,3,,0
agno,google-cloud-bigquery,high,unknown,3,,0
agno,memorisdk,high,unknown,3,,0
agno,email_validator,high,unknown,3,,0
agno,llama-api-client,high,unknown,3,,0
agno,ollama,high,unknown,3,,0
agno,youtube_transcript_api,high,unknown,3,,0
agno,agno-infra,high,unknown,3,,0
agno,chromadb,high,unknown,3,,0
agno,qdrant-client,high,critical,4,,0
agno,pinecone,high,unknown,3,,0
agno,opentelemetry-distro,high,unknown,3,,0
agno,markdown,high,unknown,3,,0
agno,googlemaps,high,unknown,3,,0
agno,oxylabs,high,unknown,3,,0
agno,twine,high,unknown,3,,0
agno,google-auth-oauthlib,high,unknown,3,,0
agno,pillow,high,critical,4,,0
agno,pyyaml,high,critical,4,,0
agno,openlit,high,unknown,3,,0
agno,python-docx,high,high,3,,0
agno,exa_py,high,unknown,3,,0
agno,browserbase,high,unknown,3,,0
agno,google-cloud-storage,high,unknown,3,,0
agno,pydantic,high,medium,3,,0
agno,agno,high,high,3,,0
agno,cohere,high,unknown,3,,0
agno,valyu,high,unknown,3,,0
agno,gitpython,high,high,3,,0
agno,fastmcp,high,high,3,,0
agno,mcp,high,high,3,,0
agno,ddgs,high,unknown,3,,0
agno,lancedb,high,unknown,3,,0
agno,pylance,high,unknown,3,,0
agno,atlassian-python-api,high,unknown,3,,0
agno,webexpythonsdk,high,unknown,3,,0
agno,packaging,high,unknown,3,,0
agno,h11,high,critical,4,,0
agno,newspaper4k,high,unknown,3,,0
agno,pypdf,high,medium,3,,0
agno,ibm-watsonx-ai,high,unknown,3,,0
agno,python-multipart,high,high,3,,0
agno,pymongo,high,medium,3,,0
agno,ag-ui-protocol,high,unknown,3,,0
agno,mistralai,high,unknown,3,,0
agno,google-cloud-firestore,high,unknown,3,,0
agno,couchbase,high,critical,4,,0
agno,tavily-python,high,unknown,3,,0
agno,build,high,unknown,3,,0
agno,redis,high,high,3,,0
agno,firecrawl-py,high,unknown,3,,0
agno,daytona,high,unknown,3,,0
agno,unstructured,high,medium,3,,0
agno,brave-search,high,unknown,3,,0
agno,openai,high,unknown,3,,0
agno,opentelemetry-exporter-otlp,high,unknown,3,,0
agno,web3,high,unknown,3,,0
agno,apify-client,high,unknown,3,,0
agno,duckdb,high,high,3,,0
agno,python-pptx,high,unknown,3,,0
agno,google-api-python-client,high,unknown,3,,0
agno,chonkie,high,unknown,3,,0
agno,pymilvus,high,unknown,3,,0
agno,groq,high,unknown,3,,0
agno,uvicorn,high,high,3,,0
agno,google-maps-places,high,unknown,3,,0
agno,pydantic-settings,high,unknown,3,,0
agno,yfinance,high,unknown,3,,0
agno,redisvl,high,unknown,3,,0
agno,a2a-sdk,high,unknown,3,,0
agno,psycopg,high,unknown,3,,0
agno,todoist-api-python,high,unknown,3,,0
agno,rich,high,unknown,3,,0
agno,asyncpg,high,critical,4,,0
agno,pytest-mock,high,unknown,3,,0
agno,surrealdb,high,unknown,3,,0
agno,sqlalchemy,high,critical,4,,0
agno,azure-ai-inference,high,unknown,3,,0
agno,fal_client,high,unknown,3,,0
agno,notion-client,high,unknown,3,,0
agno,timeout-decorator,high,unknown,3,,0
agno,crawl4ai,high,medium,3,,0
agno,typer,high,unknown,3,,0
agno,cassio,high,unknown,3,,0
agno,mypy,high,unknown,3,,0
agno,parallel-web,high,unknown,3,,0
agno,lmstudio,high,unknown,3,,0
agno,portkey-ai,high,unknown,3,,0
agno,opentelemetry-sdk,high,unknown,3,,0
agno,opencv-python,high,high,3,,0
agno,types-pyyaml,high,unknown,3,,0
agno,weaviate-client,high,unknown,3,,0
agno,langfuse,high,unknown,3,,0
agno,zep-cloud,high,unknown,3,,0
agno,scrapegraph-py,high,unknown,3,,0
agno,memory_profiler,high,unknown,3,,0
agno,neo4j,high,unknown,3,,0
agno,pygithub,high,unknown,3,,0
agno,psycopg-binary,high,unknown,3,,0
agno,reportlab,high,critical,4,,0
agno,aioboto3,high,unknown,3,,0
agno,aiofiles,high,unknown,3,,0
agno,httpx,high,critical,4,,0
agno,pyjwt,high,low,3,,0
agno,weave,high,high,3,,0
agno,types-aiofiles,high,unknown,3,,0
agno,ruff,high,unknown,3,,0
agno,pytest-cov,high,unknown,3,,0
agno,fastapi,high,high,3,,0
agno,inquirer,high,unknown,3,,0
agno,huggingface-hub,high,unknown,3,,0
agno,playwright,high,unknown,3,,0
agno,google-auth-httplib2,high,unknown,3,,0
agno,matplotlib,high,unknown,3,,0
agno,python-dotenv,high,unknown,3,,0
agno,cartesia,high,unknown,3,,0
agno,rapidocr_onnxruntime,high,unknown,3,,0
agno,trafilatura,high,unknown,3,,0
aiohttp,aiohappyeyeballs,high,unknown,3,,0
aiohttp,async-timeout,high,unknown,3,,0
aiohttp,aiodns,high,unknown,3,,0
aiohttp,aiosignal,high,unknown,3,,0
aiohttp,yarl,high,unknown,3,,0
aiohttp,frozenlist,high,unknown,3,,0
aiohttp,multidict,high,unknown,3,,0
aiohttp,propcache,high,unknown,3,,0
aiohttp,attrs,high,unknown,3,,0
aiohttp,brotlicffi,high,unknown,3,,0
aiohttp,brotli,high,high,3,,0
aiohttp,backports.zstd,high,unknown,3,,0
