package,in_degree,out_degree,severity_max,cwe_list,cwe_count
agno,1,139,high,[],0
aiohttp,20,12,high,"['CWE-20', 'CWE-22', 'CWE-444', 'CWE-601', 'CWE-61', 'CWE-772', 'CWE-79', 'CWE-80', 'CWE-835', 'CWE-93']",10
opentelemetry-exporter-otlp-proto-grpc,1,0,unknown,[],0
typing-extensions,35,0,unknown,[],0
mem0ai,2,0,unknown,[],0
google-genai,4,0,unknown,[],0
arxiv,1,0,unknown,[],0
docstring-parser,2,0,unknown,[],0
lxml_html_clean,2,0,high,"['CWE-184', 'CWE-79', 'CWE-83']",3
pgvector,2,0,unknown,[],0
anthropic,5,0,unknown,[],0
litellm,3,46,critical,[],0
clickhouse-connect,3,0,unknown,[],0
tantivy,1,0,unknown,[],0
boto3,13,0,unknown,[],0
agentql,1,0,unknown,[],0
arize-phoenix,1,0,unknown,[],0
pytest,52,0,unknown,[],0
cerebras-cloud-sdk,1,0,unknown,[],0
elevenlabs,1,0,unknown,[],0
upstash-vector,1,0,unknown,[],0
infinity_client,1,0,unknown,[],0
pytest-asyncio,8,0,unknown,[],0
google-cloud-bigquery,3,0,unknown,[],0
memorisdk,1,0,unknown,[],0
email_validator,1,0,unknown,[],0
llama-api-client,1,0,unknown,[],0
ollama,2,0,unknown,[],0
youtube_transcript_api,1,0,unknown,[],0
agno-infra,1,0,unknown,[],0
chromadb,3,0,unknown,[],0
qdrant-client,4,9,critical,[],0
pinecone,2,0,unknown,[],0
opentelemetry-distro,3,0,unknown,[],0
markdown,5,0,unknown,"['CWE-1284', 'CWE-20', 'CWE-327', 'CWE-400', 'CWE-407', 'CWE-79']",6
googlemaps,1,0,unknown,[],0
oxylabs,1,0,unknown,[],0
twine,10,0,unknown,[],0
google-auth-oauthlib,4,0,unknown,[],0
pillow,22,22,critical,[],0
pyyaml,33,0,critical,"['CWE-20', 'CWE-502']",2
openlit,1,0,unknown,[],0
python-docx,2,0,high,['CWE-611'],1
exa_py,1,0,unknown,[],0
browserbase,1,0,unknown,[],0
google-cloud-storage,6,0,unknown,[],0
pydantic,28,6,medium,['CWE-835'],1
cohere,1,0,unknown,[],0
valyu,1,0,unknown,[],0
gitpython,4,15,high,"['CWE-22', 'CWE-426']",2
fastmcp,2,15,high,[],0
mcp,7,16,high,['CWE-248'],1
ddgs,2,0,unknown,[],0
lancedb,2,0,unknown,[],0
pylance,1,0,unknown,[],0
atlassian-python-api,1,0,unknown,[],0
webexpythonsdk,1,0,unknown,[],0
packaging,33,0,unknown,[],0
h11,2,0,critical,['CWE-444'],1
newspaper4k,1,0,unknown,[],0
pypdf,6,16,medium,[],0
ibm-watsonx-ai,1,0,unknown,[],0
python-multipart,10,0,high,['CWE-770'],1
pymongo,4,20,medium,[],0
ag-ui-protocol,1,0,unknown,[],0
mistralai,1,0,unknown,[],0
google-cloud-firestore,1,0,unknown,[],0
couchbase,2,0,critical,['CWE-295'],1
tavily-python,1,0,unknown,[],0
build,16,0,unknown,[],0
redis,6,0,high,"['CWE-193', 'CWE-459']",2
firecrawl-py,2,0,unknown,[],0
daytona,1,0,unknown,[],0
unstructured,2,47,medium,[],0
brave-search,1,0,unknown,[],0
openai,10,0,unknown,[],0
opentelemetry-exporter-otlp,4,0,unknown,[],0
web3,1,0,unknown,[],0
apify-client,1,0,unknown,[],0
duckdb,3,6,high,[],0
python-pptx,3,0,unknown,[],0
google-api-python-client,5,0,unknown,[],0
chonkie,1,0,unknown,[],0
pymilvus,4,0,unknown,[],0
groq,2,0,unknown,[],0
uvicorn,19,0,high,"['CWE-116', 'CWE-74', 'CWE-94']",3
google-maps-places,1,0,unknown,[],0
pydantic-settings,4,0,unknown,[],0
yfinance,1,0,unknown,[],0
redisvl,2,0,unknown,[],0
a2a-sdk,1,0,unknown,[],0
psycopg,4,0,unknown,[],0
todoist-api-python,1,0,unknown,[],0
rich,22,0,unknown,[],0
asyncpg,4,0,critical,['CWE-824'],1
pytest-mock,11,0,unknown,[],0
surrealdb,1,0,unknown,[],0
sqlalchemy,15,0,critical,['CWE-89'],1
azure-ai-inference,1,0,unknown,[],0
fal_client,1,0,unknown,[],0
notion-client,1,0,unknown,[],0
timeout-decorator,3,0,unknown,[],0
crawl4ai,1,40,medium,[],0
typer,7,0,unknown,[],0
cassio,1,0,unknown,[],0
mypy,19,0,unknown,[],0
parallel-web,1,0,unknown,[],0
lmstudio,1,0,unknown,[],0
portkey-ai,1,0,unknown,[],0
opentelemetry-sdk,5,0,unknown,[],0
opencv-python,2,1,high,[],0
types-pyyaml,5,0,unknown,[],0
weaviate-client,2,0,unknown,[],0
langfuse,1,0,unknown,[],0
zep-cloud,1,0,unknown,[],0
scrapegraph-py,1,0,unknown,[],0
memory_profiler,2,0,unknown,[],0
neo4j,1,0,unknown,[],0
pygithub,1,0,unknown,[],0
psycopg-binary,2,0,unknown,[],0
reportlab,3,0,critical,"['CWE-91', 'CWE-918', 'CWE-94']",3
aioboto3,1,0,unknown,[],0
aiofiles,6,0,unknown,[],0
httpx,22,0,critical,['CWE-20'],1
pyjwt,11,7,low,[],0
weave,1,0,high,"['CWE-20', 'CWE-22']",2
types-aiofiles,1,0,unknown,[],0
ruff,16,0,unknown,[],0
pytest-cov,30,0,unknown,[],0
fastapi,20,0,high,['CWE-352'],1
inquirer,1,0,unknown,[],0
huggingface-hub,5,0,unknown,[],0
playwright,3,0,unknown,[],0
google-auth-httplib2,3,0,unknown,[],0
matplotlib,15,0,unknown,[],0
python-dotenv,11,0,unknown,[],0
cartesia,1,0,unknown,[],0
rapidocr_onnxruntime,1,0,unknown,[],0
trafilatura,1,0,unknown,[],0
aiohappyeyeballs,1,0,unknown,[],0
async-timeout,4,0,unknown,[],0
aiodns,2,0,unknown,[],0
aiosignal,2,0,unknown,[],0
yarl,3,0,unknown,[],0
frozenlist,2,0,unknown,[],0
multidict,4,0,unknown,[],0
propcache,3,0,unknown,[],0
attrs,9,0,unknown,[],0
brotlicffi,4,0,unknown,[],0
brotli,9,0,high,[],0
backports.zstd,1,0,unknown,[],0
aiomysql,1,2,high,[],0
pymysql,3,2,critical,[],0
anki,0,7,high,[],0
requests,41,6,medium,[],0
decorator,1,0,unknown,[],0
orjson,11,0,high,[],0
protobuf,15,0,high,[],0
distro,2,0,unknown,[],0
ansible,0,1,medium,['CWE-94'],1
ansible-core,1,5,high,[],0
jinja2,25,2,medium,"['CWE-1336', 'CWE-74', 'CWE-94', 'CWE-97']",4
resolvelib,1,0,unknown,[],0
cryptography,31,23,high,"['CWE-119', 'CWE-190', 'CWE-203', 'CWE-208', 'CWE-295', 'CWE-385', 'CWE-476', 'CWE-754', 'CWE-787']",9
apache-airflow,8,105,high,[],0
apache-airflow-providers-sendgrid,1,0,unknown,[],0
apache-airflow-providers-vertica,2,0,unknown,[],0
apache-airflow-providers-microsoft-psrp,1,0,unknown,[],0
apache-airflow-providers-apache-kylin,1,0,unknown,[],0
apache-airflow-providers-google,1,0,critical,['CWE-20'],1
apache-airflow-providers-qdrant,1,0,unknown,[],0
apache-airflow-providers-samba,1,0,unknown,[],0
apache-airflow-providers-apache-livy,1,0,unknown,[],0
apache-airflow-providers-apache-beam,1,0,unknown,[],0
apache-airflow-providers-teradata,1,0,unknown,[],0
apache-airflow-providers-common-sql,3,7,high,[],0
apache-airflow-providers-common-compat,5,0,unknown,[],0
apache-airflow-providers-ssh,1,0,unknown,[],0
apache-airflow-providers-apprise,1,0,unknown,[],0
apache-airflow-providers-celery,1,0,high,['CWE-532'],1
apache-airflow-providers-apache-cassandra,1,0,unknown,[],0
apache-airflow-providers-trino,2,0,unknown,[],0
apache-airflow-providers-apache-drill,1,0,high,['CWE-20'],1
apache-airflow-providers-dbt-cloud,1,0,unknown,[],0
apache-airflow-providers-standard,1,0,unknown,[],0
apache-airflow-task-sdk,1,0,unknown,[],0
apache-airflow-providers-pagerduty,1,0,unknown,[],0
apache-airflow-providers-cncf-kubernetes,1,7,medium,[],0
apache-airflow-providers-postgres,1,0,unknown,[],0
apache-airflow-providers-odbc,1,0,high,"['CWE-20', 'CWE-88']",2
apache-airflow-providers-atlassian-jira,1,0,unknown,[],0
apache-airflow-providers-apache-iceberg,1,0,unknown,[],0
apache-airflow-providers-apache-spark,1,0,high,"['CWE-20', 'CWE-502']",2
apache-airflow-providers-elasticsearch,1,0,unknown,[],0
apache-airflow-providers-openfaas,1,0,unknown,[],0
apache-airflow-providers-apache-druid,1,0,unknown,[],0
apache-airflow-providers-openai,1,0,unknown,[],0
apache-airflow-providers-salesforce,1,0,unknown,[],0
apache-airflow-providers-apache-impala,1,0,unknown,[],0
apache-airflow-providers-grpc,1,0,unknown,[],0
apache-airflow-providers-common-messaging,1,0,unknown,[],0
apache-airflow-providers-presto,2,0,unknown,[],0
apache-airflow-providers-jenkins,1,0,unknown,[],0
apache-airflow-providers-apache-pig,1,0,unknown,[],0
apache-airflow-providers-mongo,1,3,critical,[],0
apache-airflow-providers-fab,1,17,low,[],0
apache-airflow-providers-weaviate,1,0,unknown,[],0
apache-airflow-providers-alibaba,1,0,unknown,[],0
apache-airflow-providers-apache-pinot,1,0,unknown,[],0
apache-airflow-providers-common-io,1,0,unknown,[],0
cloudpickle,8,0,unknown,[],0
apache-airflow-providers-sftp,1,0,unknown,[],0
apache-airflow-providers-apache-tinkerpop,1,0,unknown,[],0
apache-airflow-providers-microsoft-winrm,1,0,unknown,[],0
apache-airflow-providers-arangodb,1,0,unknown,[],0
apache-airflow-providers-snowflake,1,10,critical,[],0
apache-airflow-providers-telegram,1,0,unknown,[],0
apache-airflow-providers-cloudant,1,0,unknown,[],0
apache-airflow-providers-yandex,1,0,unknown,[],0
apache-airflow-providers-mysql,1,10,medium,[],0
apache-airflow-providers-edge3,1,0,unknown,[],0
apache-airflow-providers-apache-hdfs,1,0,high,['CWE-829'],1
apache-airflow-providers-tableau,1,0,unknown,[],0
apache-airflow-providers-pinecone,1,0,unknown,[],0
apache-airflow-providers-apache-flink,1,0,unknown,[],0
apache-airflow-providers-http,1,0,unknown,[],0
apache-airflow-providers-singularity,1,0,unknown,[],0
