time,package,degree_t,betweenness_t
2023-11-01,sentry-sdk,1,0.0
2023-11-01,sglang,2,0.0
2023-11-01,feast,4,0.0
2023-11-01,transformers,10,0.7512254901960783
2023-11-01,deepspeed,3,0.22058823529411764
2023-11-01,crawl4ai,2,0.0392156862745098
2023-11-01,langchain,4,0.24142156862745098
2023-11-01,ray,3,0.003676470588235294
2023-11-01,pytorch-lightning,2,0.0
2023-11-01,xgrammar,3,0.003676470588235294
2023-11-01,sagemaker,2,0.0821078431372549
2023-11-01,mlflow,2,0.022058823529411763
2023-11-01,lightning,2,0.0
2023-11-01,unstructured,3,0.07107843137254903
2023-11-01,open-webui,3,0.27083333333333337
2023-11-01,embedchain,1,0.0
2023-11-01,vllm,3,0.003676470588235294
2023-11-01,agno,4,0.003676470588235294
2023-12-01,sentry-sdk,0,0.0
2023-12-01,sglang,2,0.0
2023-12-01,feast,4,0.0
2023-12-01,transformers,10,0.7333333333333334
2023-12-01,deepspeed,3,0.2285714285714286
2023-12-01,crawl4ai,2,0.05238095238095239
2023-12-01,ray,3,0.004761904761904762
2023-12-01,pytorch-lightning,2,0.0
2023-12-01,xgrammar,3,0.004761904761904762
2023-12-01,mlflow,1,0.0
2023-12-01,lightning,2,0.0
2023-12-01,unstructured,3,0.06190476190476191
2023-12-01,open-webui,2,0.0
2023-12-01,sagemaker,2,0.12380952380952381
2023-12-01,vllm,3,0.004761904761904762
2023-12-01,agno,4,0.004761904761904762
2024-01-01,rembg,1,0.0
2024-01-01,sglang,2,0.0
2024-01-01,feast,4,0.0
2024-01-01,transformers,9,0.5824175824175825
2024-01-01,deepspeed,3,0.2197802197802198
2024-01-01,crawl4ai,2,0.049450549450549455
2024-01-01,ray,3,0.005494505494505495
2024-01-01,pytorch-lightning,2,0.0
2024-01-01,xgrammar,3,0.005494505494505495
2024-01-01,gradio,1,0.0
2024-01-01,lightning,2,0.0
2024-01-01,unstructured,3,0.06043956043956045
2024-01-01,open-webui,2,0.0
