package,cve,cwes,severity,first_affected_version,first_affected_date,disclosed_date,mitigation_version,mitigation_date,disclosure_lag_days,time_to_fix_from_first_days,time_to_fix_from_disclosure_days,fix_semver_type
urllib3,CVE-2024-37891,"CWE-669;['CWE-200', 'CWE-295', 'CWE-400', 'CWE-601', 'CWE-669', 'CWE-93']",moderate,0,,2024-06-17,1.26.19,2024-06-17,,,0.0,major
urllib3,CVE-2025-50182,"CWE-601;['CWE-200', 'CWE-295', 'CWE-400', 'CWE-601', 'CWE-669', 'CWE-93']",moderate,2.2.0,2024-01-30,2025-06-18,2.5.0,2025-06-18,505.0,505.0,0.0,minor
urllib3,CVE-2025-50181,"CWE-601;['CWE-200', 'CWE-295', 'CWE-400', 'CWE-601', 'CWE-669', 'CWE-93']",moderate,0,,2025-06-18,2.5.0,2025-06-18,,,0.0,major
requests,CVE-2024-47081,,moderate,0,,2025-06-09,2.32.4,2025-06-09,,,0.0,major
requests,CVE-2024-35195,,moderate,0,,2024-05-20,2.32.0,2024-05-20,,,0.0,major
certifi,CVE-2024-39689,"['CWE-17', 'CWE-19', 'CWE-20', 'CWE-208', 'CWE-295', 'CWE-303', 'CWE-310', 'CWE-325', 'CWE-347', 'CWE-362', 'CWE-399', 'CWE-404', 'CWE-476']",low,2021.5.30,2021-05-30,2024-07-05,2024.7.4,2024-07-04,1132.0,1131.0,-1.0,major
idna,CVE-2024-3651,['CWE-407'],moderate,0,,2024-04-11,3.7,2024-04-11,,,0,major
setuptools,CVE-2025-47273,"CWE-22;['CWE-1333', 'CWE-22']",high,0,,2025-05-19,78.1.1,2025-04-19,,,-30.0,major
setuptools,CVE-2024-6345,"['CWE-1333', 'CWE-22']",high,0,,2024-07-15,70.0.0,2024-05-21,,,-55.0,major
cryptography,CVE-2023-50782,"['CWE-119', 'CWE-190', 'CWE-203', 'CWE-208', 'CWE-295', 'CWE-385', 'CWE-476', 'CWE-754', 'CWE-787']",high,0,,2024-02-05,42.0.0,2024-01-23,,,-13.0,major
cryptography,CVE-2024-26130,"CWE-476;['CWE-119', 'CWE-190', 'CWE-203', 'CWE-208', 'CWE-295', 'CWE-385', 'CWE-476', 'CWE-754', 'CWE-787']",high,38.0.0,2022-09-07,2024-02-21,42.0.4,2024-02-21,532.0,532.0,0.0,major
cryptography,CVE-2024-12797,"['CWE-119', 'CWE-190', 'CWE-203', 'CWE-208', 'CWE-295', 'CWE-385', 'CWE-476', 'CWE-754', 'CWE-787']",low,42.0.0,2024-01-23,2025-02-11,44.0.1,2025-02-11,385.0,385.0,0.0,major
cryptography,CVE-2024-0727,"['CWE-119', 'CWE-190', 'CWE-203', 'CWE-208', 'CWE-295', 'CWE-385', 'CWE-476', 'CWE-754', 'CWE-787']",moderate,0,,2024-01-26,42.0.2,2024-01-30,,,4.0,major
cryptography,,"['CWE-119', 'CWE-190', 'CWE-203', 'CWE-208', 'CWE-295', 'CWE-385', 'CWE-476', 'CWE-754', 'CWE-787']",moderate,37.0.0,2022-04-26,2024-09-03,43.0.1,2024-09-03,861.0,861.0,0.0,major
cryptography,CVE-2023-49083,"CWE-476;['CWE-119', 'CWE-190', 'CWE-203', 'CWE-208', 'CWE-295', 'CWE-385', 'CWE-476', 'CWE-754', 'CWE-787']",moderate,3.1,2020-08-27,2023-11-28,41.0.6,2023-11-27,1188.0,1187.0,-1.0,major
pydantic,CVE-2024-3772,['CWE-835'],moderate,0,,2024-04-15,2.4.0,2023-09-25,,,-203.0,major
pip,CVE-2025-8869,"['CWE-1284', 'CWE-1333', 'CWE-1357', 'CWE-190', 'CWE-20', 'CWE-200', 'CWE-22', 'CWE-287', 'CWE-303', 'CWE-319', 'CWE-352', 'CWE-367', 'CWE-427', 'CWE-444', 'CWE-502', 'CWE-601', 'CWE-77', 'CWE-78', 'CWE-791', 'CWE-807', 'CWE-829', 'CWE-94']",moderate,0,,2025-09-24,25.3,2025-10-25,,,31,major
protobuf,CVE-2025-4565,,high,0,,2025-06-16,4.25.8,2025-05-28,,,-19.0,major
h11,CVE-2025-43859,CWE-444;['CWE-444'],critical,0,,2025-04-24,0.16.0,2025-04-24,,,0.0,minor
