package,cve,cwes,severity,first_affected_version,first_affected_date,disclosed_date,mitigation_version,mitigation_date,disclosure_lag_days,time_to_fix_from_first_days,time_to_fix_from_disclosure_days,fix_semver_type
urllib3,CVE-2024-37891,CWE-669,low,0,,2024-06-17,1.26.19,2024-06-17,,,0.0,major
urllib3,CVE-2025-50182,CWE-601,low,2.2.0,2024-01-30,2025-06-18,2.5.0,2025-06-18,505.0,505.0,0.0,minor
urllib3,CVE-2023-45803,CWE-200,low,0,,2023-10-17,2.0.7,2023-10-17,,,0.0,major
urllib3,CVE-2018-25091,CWE-601,low,0,,2023-10-15,1.24.2,2019-04-17,,,-1642.0,major
urllib3,CVE-2025-50181,CWE-601,low,0,,2025-06-18,2.5.0,2025-06-18,,,0.0,major
urllib3,CVE-2023-43804,CWE-200,low,0,,2023-10-04,2.0.6,2023-10-02,,,-2.0,major
requests,CVE-2024-47081,CWE-522,low,0,,2025-06-09,2.32.4,2025-06-09,,,0.0,major
requests,CVE-2024-35195,CWE-670,low,0,,2024-05-20,2.32.0,2024-05-20,,,0.0,major
requests,CVE-2023-32681,CWE-200,medium,2.3.0,2014-05-16,2023-05-26,2.31.0,2023-05-22,3297.0,3293.0,-4.0,minor
certifi,CVE-2024-39689,CWE-345,low,2021.5.30,2021-05-30,2024-07-05,2024.7.4,2024-07-04,1132.0,1131.0,-1.0,major
certifi,CVE-2022-23491,CWE-345,medium,2017.11.5,2017-11-05,2022-12-07,2022.12.7,2022-12-07,1858.0,1858.0,0.0,major
certifi,CVE-2023-37920,CWE-345,high,2015.4.28,,2023-08-03,2023.7.22,2023-07-22,,,-12.0,major
idna,CVE-2024-3651,CWE-1333,low,0.1,,2024-07-07,,,,,,
setuptools,CVE-2025-47273,CWE-22,low,0,,2025-05-17,78.1.1,2025-04-19,,,-28.0,major
setuptools,CVE-2024-6345,CWE-94,low,0,,2024-07-15,70.0.0,2024-05-21,,,-55.0,major
setuptools,CVE-2022-40897,CWE-1333,medium,0,,2022-12-23,65.5.1,2022-11-04,,,-49.0,major
cryptography,CVE-2023-50782,CWE-203;CWE-208,low,0,,2024-02-05,42.0.0,2024-01-23,,,-13.0,major
cryptography,CVE-2024-26130,CWE-476,low,38.0.0,2022-09-07,2024-02-21,42.0.4,2024-02-21,532.0,532.0,0.0,major
cryptography,CVE-2024-12797,CWE-392,medium,42.0.0,2024-01-23,2025-02-11,44.0.1,2025-02-11,385.0,385.0,0.0,major
cryptography,CVE-2024-0727,CWE-476,low,0,,2024-01-26,42.0.2,2024-01-30,,,4.0,major
cryptography,CVE-2023-38325,CWE-295,high,40.0.0,2023-03-24,2023-07-14,41.0.2,2023-07-11,112.0,109.0,-3.0,major
cryptography,CVE-2023-49083,CWE-476,low,3.1,2020-08-27,2023-11-29,41.0.6,2023-11-27,1189.0,1187.0,-2.0,major
cryptography,CVE-2023-23931,CWE-754,low,1.8,2017-03-10,2023-02-07,39.0.1,2023-02-07,2160.0,2160.0,0.0,major
cryptography,CVE-2023-0286,CWE-843,low,0.8.1,2015-03-20,2023-02-08,39.0.1,2023-02-07,2882.0,2881.0,-1.0,major
pydantic,CVE-2024-3772,CWE-1333,low,0,,2024-04-15,2.4.0,2023-09-25,,,-203.0,major
pip,CVE-2025-8869,,unknown,0,,2025-09-24,,,,,,
pip,CVE-2023-5752,CWE-77,low,0,,2023-10-25,,,,,,
protobuf,CVE-2025-4565,CWE-674,medium,0,,2025-06-16,4.25.8,2025-05-28,,,-19.0,major
h11,CVE-2025-43859,CWE-444,low,0,,2025-04-24,0.16.0,2025-04-24,,,0.0,minor
pygments,CVE-2022-40896,CWE-434,medium,0,,2023-07-19,2.15.1,2023-04-18,,,-92.0,major
jinja2,CVE-2025-27516,CWE-1336,high,0,,2025-03-05,3.1.6,2025-03-05,,,0.0,major
jinja2,CVE-2024-56201,CWE-150,low,3.0.0,2021-05-11,2024-12-23,3.1.5,2024-12-21,1322.0,1320.0,-2.0,minor
jinja2,CVE-2024-22195,CWE-79,low,0,,2024-01-11,3.1.3,2024-01-10,,,-1.0,major
jinja2,CVE-2024-34064,CWE-79,low,0,,2024-05-06,3.1.4,2024-05-05,,,-1.0,major
jinja2,CVE-2024-56326,CWE-1336;CWE-693,low,0,,2024-12-23,3.1.5,2024-12-21,,,-2.0,major
zipp,CVE-2024-5569,CWE-835,low,0,,2024-07-09,3.19.1,2024-05-31,,,-39.0,major
wheel,CVE-2022-40898,CWE-20,high,0,,2022-12-23,0.38.1,2022-11-04,,,-49.0,minor
aiohttp,CVE-2024-52303,CWE-772,low,3.10.6,2024-09-24,2024-11-18,3.10.11,2024-11-13,55.0,50.0,-5.0,patch
aiohttp,CVE-2023-37276,CWE-444,medium,0,,2023-07-20,3.8.5,2023-07-19,,,-1.0,major
aiohttp,CVE-2024-23334,CWE-22,low,1.0.5,2016-10-11,2024-01-29,3.9.2,2024-01-28,2666.0,2665.0,-1.0,major
aiohttp,CVE-2024-30251,CWE-835,low,0,,2024-05-03,3.9.4,2024-04-11,,,-22.0,major
aiohttp,CVE-2024-27306,CWE-79;CWE-80,low,0,,2024-04-18,3.9.4,2024-04-11,,,-7.0,major
aiohttp,CVE-2024-52304,CWE-444,high,0,,2024-11-18,3.10.11,2024-11-13,,,-5.0,major
aiohttp,CVE-2024-23829,CWE-444,low,0,,2024-01-29,3.9.2,2024-01-28,,,-1.0,major
aiohttp,CVE-2025-53643,CWE-444,high,0,,2025-07-14,3.12.14,2025-07-10,,,-4.0,major
aiohttp,CVE-2023-47627,CWE-444,low,0,,2023-11-14,3.8.6,2023-10-07,,,-38.0,major
aiohttp,CVE-2024-42367,CWE-61,low,3.10.0b1,2024-07-22,2024-08-09,3.10.2,2024-08-08,18.0,17.0,-1.0,patch
aiohttp,CVE-2023-49081,CWE-20,low,0,,2023-11-30,3.9.0,2023-11-18,,,-12.0,major
aiohttp,CVE-2023-49082,CWE-20;CWE-93,low,0,,2023-11-29,3.9.0,2023-11-18,,,-11.0,major
aiohttp,CVE-2023-47641,CWE-444,low,0,,2023-11-14,3.8.0,2021-10-31,,,-744.0,major
pyjwt,CVE-2024-53861,CWE-697,low,2.10.0,2024-11-17,2024-12-02,2.10.1,2024-11-28,15.0,11.0,-4.0,patch
virtualenv,CVE-2024-53899,CWE-77;CWE-78,low,0,,2024-11-24,20.26.6,2024-09-27,,,-58.0,major
tqdm,CVE-2024-34062,CWE-74,low,4.4.0,2016-04-07,2024-05-03,4.66.3,2024-05-02,2948.0,2947.0,-1.0,minor
pyarrow,CVE-2023-47248,CWE-502,critical,0.14.0,2019-07-04,2023-11-20,14.0.1,2023-11-08,1600.0,1588.0,-12.0,major
pyarrow,CVE-2024-52338,CWE-502,critical,4.0.0,2021-04-26,2024-11-28,17.0.0,2024-07-16,1312.0,1177.0,-135.0,major
markdown-it-py,CVE-2023-26302,CWE-173,low,0,,2023-02-22,2.2.0,2023-02-22,,,0.0,major
markdown-it-py,CVE-2023-26303,CWE-173,low,0,,2023-02-23,2.2.0,2023-02-22,,,-1.0,major
pillow,CVE-2023-50447,CWE-94;CWE-95,low,0,,2024-01-19,10.2.0,2024-01-02,,,-17.0,major
pillow,CVE-2024-28219,CWE-680,low,0,,2024-04-03,10.3.0,2024-04-01,,,-2.0,major
pillow,CVE-2023-44271,CWE-770,high,0,,2023-11-03,10.0.0,2023-07-01,,,-125.0,major
pillow,CVE-2023-4863,CWE-787,low,0,,2023-09-12,10.0.1,2023-09-15,,,3.0,major
pillow,CVE-2022-45198,,high,0,,2022-11-14,9.2.0,2022-07-01,,,-136.0,major
pillow,CVE-2022-45199,CWE-400,high,9.2.0,2022-07-01,2022-11-14,9.3.0,2022-10-29,136.0,120.0,-16.0,minor
pillow,CVE-2025-48379,CWE-122,high,11.2.0,,2025-07-01,11.3.0,2025-07-01,,,0.0,minor
grpcio,CVE-2023-33953,CWE-770;CWE-789;CWE-834,low,0,,2023-08-09,1.53.2,2023-08-02,,,-7.0,major
grpcio,CVE-2023-1428,CWE-617,low,1.51.0,2022-11-21,2023-07-06,1.53.0,2023-03-27,227.0,126.0,-101.0,minor
grpcio,CVE-2023-32732,CWE-440,low,1.53.0,2023-03-27,2023-07-06,1.53.1,2023-05-12,101.0,46.0,-55.0,patch
grpcio,CVE-2023-32731,CWE-440,low,1.53.0,2023-03-27,2023-07-05,1.53.1,2023-05-12,100.0,46.0,-54.0,patch
grpcio,CVE-2023-4785,CWE-248,low,1.53.0,2023-03-27,2023-09-13,1.55.3,2023-08-01,170.0,127.0,-43.0,minor
scipy,CVE-2023-25399,CWE-401,medium,0,,2023-07-05,1.10.0,2023-01-03,,,-183.0,major
scipy,CVE-2023-29824,CWE-416,critical,0,,2023-07-06,1.8.0,2022-02-05,,,-516.0,major
starlette,CVE-2025-54121,CWE-770,low,0,,2025-07-21,0.47.2,2025-07-20,,,-1.0,minor
starlette,CVE-2023-30798,CWE-400,high,0,,2023-04-21,0.25.0,2023-02-14,,,-66.0,minor
starlette,CVE-2025-62727,CWE-407,low,0.39.0,2024-09-23,2025-10-28,0.49.1,2025-10-28,400.0,400.0,0.0,minor
starlette,CVE-2024-47874,CWE-770,low,0,,2024-10-15,0.40.0,2024-10-15,,,0.0,minor
starlette,CVE-2023-29159,CWE-22,high,0.13.5,2020-07-17,2023-06-01,0.27.0,2023-05-16,1049.0,1033.0,-16.0,minor
snowflake-connector-python,CVE-2025-24793,CWE-89,high,2.2.5,2020-04-30,2025-01-29,3.13.1,2025-01-29,1735.0,1735.0,0.0,major
snowflake-connector-python,CVE-2024-49750,CWE-532,low,0,,2024-10-24,3.12.3,2024-10-24,,,0.0,major
